name	F type	FIA type	FIB type	IncF RST
AVC10	C4	A-	B20	C4:A-:B20
AVC103	F2	A-	B1	F2:A-:B1
AVC105	F24	A-	B8	F24:A-:B8
AVC106	F82/C4	A-	B1	F82/C4:A-:B1
AVC107	F76	A-	B1	F76:A-:B1
AVC109	F35	A-	B-	F35:A-:B-
AVC11	C4	A-	B20	C4:A-:B20
AVC113	F24	A-	B1	F24:A-:B1
AVC12	C4	A-	B1	C4:A-:B1
AVC123	F33	A-	B-	F33:A-:B-
AVC126	C4	A-	B1	C4:A-:B1
AVC148	C4	A-	B1	C4:A-:B1
AVC153	F24	A-	B40	F24:A-:B40
AVC154	C4	A-	B1	C4:A-:B1
AVC155	C4	A-	B1	C4:A-:B1
AVC156	C4	A-	B1	C4:A-:B1
AVC159	C4	A-	B1	C4:A-:B1
AVC160	F24	A-	B1	F24:A-:B1
AVC161	C4	A-	B1	C4:A-:B1
AVC167	C4	A-	B1	C4:A-:B1
AVC171	F2	A-	B1	F2:A-:B1
AVC173	F2	A-	B1	F2:A-:B1
AVC176	F4	A-	B10	F4:A-:B10
AVC177	F64	A-	B27	F64:A-:B27
AVC179	C4	A-	B1	C4:A-:B1
AVC183	F24	A-	B40	F24:A-:B40
AVC184	C4	A-	B1	C4:A-:B1
AVC186	C4	A-	B1	C4:A-:B1
AVC19	C4	A-	B20	C4:A-:B20
AVC191	C4	A-	B1	C4:A-:B1
AVC195	F2	A-	B1	F2:A-:B1
AVC196	F24	A-	B8	F24:A-:B8
AVC197	C4	A-	B1	C4:A-:B1
AVC198	C4	A-	B1	C4:A-:B1
AVC20	C4	A-	B20	C4:A-:B20
AVC200	C4	A-	B1	C4:A-:B1
AVC201	F4	A-	B1	F4:A-:B1
AVC204	C4	A-	B1	C4:A-:B1
AVC207	F24	A-	B73	F24:A-:B73
AVC209	C4	A-	B1	C4:A-:B1
AVC21	C4	A-	B20	C4:A-:B20
AVC210	C4	A-	B1	C4:A-:B1
AVC211	C4	A-	B1	C4:A-:B1
AVC213	F40/C4	A-	B1	F40/C4:A-:B1
AVC215	C4	A-	B1	C4:A-:B1
AVC216	F24	A-	B8	F24:A-:B8
AVC218	F24	A-	B40	F24:A-:B40
AVC219	C4	A-	B1	C4:A-:B1
AVC220	C4	A-	B1	C4:A-:B1
AVC221	F24	A-	B8	F24:A-:B8
AVC222	C4	A-	B1	C4:A-:B1
AVC223	F24	A-	B1	F24:A-:B1
AVC224	C4	A-	B1	C4:A-:B1
AVC226	C4	A-	B8	C4:A-:B8
AVC227	C4	A-	B1	C4:A-:B1
AVC228	C4	A-	B40	C4:A-:B40
AVC232	F2	A-	B1	F2:A-:B1
AVC233	F2	A-	B1	F2:A-:B1
