name	Virulence	Acid	Biocide	Metal	Heat
AVC191	fdeC,hlyE,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papC,papE,papF,papG-II,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	arsA	
FH138	cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
FH171	fdeC,hlyE,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,tsh,vactox	ymgB	emrE		
FH88	cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH212	astA,cvaC,espX1,fdeC,focG,iha,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchB,mchF,tsh	ymgB	emrE		
FH97	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
FH19	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox	ymgB	emrE		
AVC219	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
AVC237	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,mchF	ymgB	emrE		
AVC7	astA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchB,mchF	ymgB	emrE	arsA,arsD,arsR,merC,merP,merR,merT	
FH22	cvaC,eilA,espX1,fdeC,iha,iroB,iroC,iroD,iroE,iroN,iss,mchB,mchF	ymgB			
FH144	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
AVC64	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
FH25	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox	ymgB	emrE		
FH92	cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
FH37	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH69	astA,cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC38	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH52	espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,tsh	ymgB	emrE		
AVC201	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB	emrE		
FH104	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH180	astA,cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox	ymgB	emrE		
FH61	air,cvaC,eilA,espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH142	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
AVC5	fdeC,hlyE,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1		
FH58	espX1,etpD,iss,lpfA	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
AVC98	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,tsh	ymgB	emrE		
AVC235	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
AVC20	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
AVC256	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
AVC97	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
