name	trpBA	virA	TspE4	arpA	chu	yjaA	Clermont_type
 AVC191	1	0	0	0	1	0	G
 FH138	1	0	1	0	1	1	B2
 FH171	1	0	0	0	1	0	G
 FH88	1	0	1	0	1	1	B2
 FH212	1	0	1	1	1	0	E
 FH97	1	0	1	0	1	1	B2
 FH19	1	0	0	0	1	0	G
 AVC219	1	0	1	1	1	0	E
 AVC237	1	0	0	1	0	1	A
 AVC7	1	0	1	1	0	0	B1
 FH22	1	0	0	1	1	0	D
 FH144	1	0	0	1	1	0	D
 AVC64	1	0	1	1	1	0	E
 FH25	1	0	0	0	1	0	G
 FH92	1	0	1	0	1	1	B2
 FH37	1	0	1	0	1	1	B2
 FH69	1	0	0	0	1	0	F
 AVC38	1	0	1	0	1	1	B2
 FH52	1	0	1	1	1	0	E
 AVC201	1	0	0	1	0	1	C
 FH104	1	0	1	0	1	1	B2
 FH180	1	0	0	0	1	0	G
 FH61	1	0	0	1	1	0	D
 FH142	1	0	0	1	1	0	D
 AVC5	1	0	0	0	1	0	G
 FH58	1	0	0	1	0	0	A
 AVC98	1	0	1	1	1	0	E
 AVC235	1	0	1	0	1	1	B2
 AVC20	1	0	1	0	1	1	B2
 AVC256	1	0	1	0	1	1	B2
 AVC97	1	0	1	0	1	1	B2
 FH83	1	0	0	1	0	1	A
 FH132	1	0	1	0	1	1	B2
 FH203	1	0	0	0	1	0	G
 AVC123	1	0	0	1	0	1	A
 FH166	1	0	0	0	1	0	G
 AVC51	1	0	1	1	1	0	D
 FH65	1	0	0	1	1	0	D
 FH62	1	0	0	1	1	0	D
 FH125	1	0	0	1	0	1	A
 FH21	1	0	0	1	1	0	D
 AVC60	1	0	0	0	1	0	G
 FH150	1	0	1	1	0	0	B1
 AVC148	1	0	1	1	1	0	E
 FH207	1	0	1	1	1	0	E
 FH67	1	0	0	1	1	0	D
 FH148	1	0	0	1	1	0	D
 FH113	1	0	1	0	1	1	B2
 FH165	1	0	1	1	0	0	B1
 FH161	1	0	0	0	1	0	G
 FH31	1	0	1	1	1	0	E
 FH28	1	0	1	1	0	0	B1
 AVC61	1	0	1	0	1	1	B2
 FH101	1	0	1	0	1	1	B2
 FH36	1	0	1	1	0	0	B1
 FH206	1	0	1	1	1	0	E
 FH59	1	0	1	1	1	0	E
 FH46	1	0	1	1	1	0	E
 FH9	1	0	0	1	0	0	A
 FH146	1	0	0	1	1	0	D
 FH127	1	0	1	0	1	1	B2
 FH111	1	0	1	0	1	1	B2
 FH204	1	0	0	0	1	0	G
 FH123	1	0	0	1	1	0	D
 FH38	1	0	1	0	1	1	B2
 FH174	1	0	0	0	1	0	G
 FH209	1	0	1	1	1	0	E
 AVC216	1	0	0	1	1	0	D
 FH30	1	0	0	1	1	0	D
 FH109	1	0	1	0	1	1	B2
 AVC242	1	0	1	0	1	1	B2
 FH210	1	0	1	0	0	0	U
 FH98	1	0	1	0	1	1	B2
 AVC29	1	0	0	0	1	0	G
 AVC106	1	0	0	0	1	0	G
 AVC179	1	0	1	1	1	0	D
 FH76	1	0	0	1	1	0	D
 AVC65	1	0	0	1	1	0	D
 FH192	1	0	0	0	1	0	G
 FH156	1	0	0	0	1	0	G
 FH15	1	0	0	1	0	0	A
 FH213	1	0	1	1	1	0	E
 FH27	1	0	0	0	1	0	G
 FH91	1	0	1	0	1	1	B2
 AVC113	1	0	1	1	0	0	B1
 FH214	1	0	1	1	1	0	E
 AVC224	1	0	1	1	1	0	E
 FH1	1	0	0	1	0	0	A
 AVC156	1	0	1	1	1	0	D
 FH182	1	0	0	0	1	0	G
 FH162	1	0	0	0	1	0	G
 AVC91	1	0	0	1	1	0	D
 AVC195	1	0	1	1	1	0	E
 AVC252	1	0	0	1	0	1	C
 AVC176	1	0	0	1	1	0	D
 FH14	1	0	0	1	0	1	A
 FH163	1	0	0	0	1	0	G
 AVC154	1	0	0	0	1	0	G
 FH44	1	0	1	1	1	0	E
 AVC251	1	0	1	0	1	1	B2
 FH80	1	0	1	0	1	1	B2
 FH181	1	0	0	0	1	0	G
 FH18	1	0	0	1	0	1	A
 FH47	1	0	1	1	1	0	E
 AVC12	1	0	1	1	1	0	E
 FH35	1	0	1	1	1	0	E
 AVC186	1	0	1	1	1	0	E
 FH10	1	0	0	1	0	1	A
 AVC30	1	0	0	0	1	0	G
 AVC19	1	0	1	0	1	1	B2
 FH211	1	0	1	1	1	0	E
 FH114	1	0	0	0	1	0	G
 AVC209	1	0	1	1	1	0	E
 FH124	1	0	0	1	0	0	A
 AVC233	1	0	1	1	1	0	E
 AVC171	1	0	1	0	1	1	B2
 FH141	1	0	0	1	1	0	D
 FH178	1	0	0	0	1	0	G
 AVC246	1	0	1	1	1	0	E
 AVC161	1	0	1	1	0	0	B1
 FH48	1	0	0	1	0	1	A
 AVC25	1	0	1	0	1	1	B2
 FH126	1	0	1	0	1	1	B2
 AVC26	1	0	1	0	1	1	B2
 FH39	1	0	1	0	1	1	B2
 FH159	1	0	0	0	1	0	G
 AVC207	1	0	0	1	0	0	A
 AVC79	1	0	0	0	1	0	G
 FH201	1	0	0	0	1	0	F
 FH175	1	0	0	1	0	1	A
 FH193	1	0	1	0	1	1	B2
 FH5	1	0	0	0	1	0	G
 FH187	1	0	1	0	1	1	B2
 AVC249	1	0	0	0	1	0	G
 FH134	1	0	1	0	1	1	B2
 AVC183	1	0	1	0	1	1	B2
 FH50	1	0	1	1	1	0	E
 AVC153	1	0	0	1	0	0	A
 FH196	1	0	0	0	1	0	G
 FH63	1	0	0	1	1	0	D
 FH157	1	0	0	0	1	0	G
 FH190	1	0	0	0	1	0	G
 FH137	1	0	1	0	1	1	B2
 AVC213	1	0	1	1	0	0	B1
 FH167	1	0	0	0	1	0	G
 FH75	1	0	0	1	1	0	D
 FH56	1	0	0	0	1	0	G
 FH155	1	0	0	0	1	0	G
 FH64	1	0	0	1	1	0	D
 FH23	1	0	0	0	1	0	G
 FH45	1	0	1	1	1	0	E
 FH93	1	0	1	0	1	1	B2
 FH84	1	0	0	1	0	1	A
 AVC160	1	0	0	0	1	0	G
 AVC10	1	0	1	0	1	1	B2
 FH154	1	0	0	0	1	0	G
 AVC221	1	0	0	1	1	0	D
 AVC184	1	0	0	0	1	0	G
 FH200	1	0	0	1	0	1	C
 FH96	1	0	1	0	1	1	B2
 FH185	1	0	0	0	1	0	G
 FH71	1	0	0	0	1	0	F
 FH121	1	0	0	1	1	0	D
 FH68	1	0	0	0	1	0	F
 FH77	1	0	0	1	1	0	D
 FH195	1	0	0	0	1	0	G
 FH168	1	0	1	1	1	0	E
 FH8	1	0	0	0	1	0	G
 AVC159	1	0	0	0	1	0	G
 FH16	1	0	0	1	0	0	A
 AVC80	1	0	0	0	1	0	G
 FH78	1	0	1	0	1	1	B2
 FH60	1	0	0	1	0	0	A
 FH34	1	0	1	1	1	0	E
 AVC177	1	0	0	1	1	0	D
 FH55	1	0	0	0	1	0	G
 FH12	1	0	1	1	0	0	B1
 FH173	1	0	0	0	1	0	G
 FH186	1	0	0	0	1	0	G
 FH51	1	0	1	1	1	0	E
 AVC196	1	0	0	1	1	0	D
 AVC4	1	0	0	0	1	0	G
 FH53	1	0	0	0	1	0	G
 FH119	1	0	1	1	0	0	B1
 FH128	1	0	1	0	1	1	B2
 FH130	1	0	0	0	1	1	B2
 AVC211	1	0	0	1	0	0	A
 FH135	1	0	0	1	0	0	A
 FH99	1	0	1	0	1	1	B2
 FH89	1	0	1	0	1	1	B2
 FH120	1	0	0	1	1	0	D
 FH87	1	0	0	0	1	0	G
 AVC111	1	0	0	0	1	0	F
