name	pMLST_scheme	pMLST
AVC191	incac	 Unknown
FH138	incac	 Unknown
FH171	incac	 Unknown
FH88	incac	 Unknown
FH212	incac	 Unknown
FH97	incac	 Unknown
FH19	incac	 Unknown
AVC219	incac	 Unknown
AVC237	incac	 Unknown
AVC7	incac	 Unknown
FH22	incac	 Unknown
FH144	incac	 Unknown
AVC64	incac	 Unknown
FH25	incac	 Unknown
FH92	incac	 Unknown
FH37	incac	 Unknown
FH69	incac	 Unknown
AVC38	incac	 Unknown
FH52	incac	 Unknown
AVC201	incac	 Unknown
FH104	incac	 Unknown
FH180	incac	 Unknown
FH61	incac	 Unknown
FH142	incac	 Unknown
AVC5	incac	 Unknown
FH58	incac	 Unknown
AVC98	incac	 Unknown
AVC235	incac	 Unknown
AVC20	incac	 Unknown
AVC256	incac	 Unknown
AVC97	incac	 Unknown
FH83	incac	 Unknown
FH132	incac	 Unknown
FH203	incac	 Unknown
AVC123	incac	 Unknown
FH166	incac	 Unknown
AVC51	incac	 Unknown
FH65	incac	 Unknown
FH62	incac	 Unknown
FH125	incac	 Unknown
FH21	incac	 Unknown
AVC60	incac	 Unknown
FH150	incac	 Unknown
AVC148	incac	 Unknown
FH207	incac	 Unknown
FH67	incac	 Unknown
FH148	incac	 Unknown
FH113	incac	 Unknown
FH165	incac	 Unknown
FH161	incac	 Unknown
FH31	incac	 Unknown
FH28	incac	 Unknown
AVC61	incac	 Unknown
FH101	incac	 Unknown
FH36	incac	 Unknown
FH206	incac	 Unknown
FH59	incac	 Unknown
FH46	incac	 Unknown
FH9	incac	 Unknown
FH146	incac	 Unknown
FH127	incac	 Unknown
FH111	incac	 Unknown
FH204	incac	 Unknown
FH123	incac	 Unknown
FH38	incac	 Unknown
FH174	incac	 Unknown
FH209	incac	 Unknown
AVC216	incac	 Unknown
FH30	incac	 Unknown
FH109	incac	 Unknown
AVC242	incac	 Unknown
FH210	incac	 Unknown
FH98	incac	 Unknown
AVC29	incac	 Unknown
AVC106	incac	 Unknown
AVC179	incac	 Unknown
FH76	incac	 Unknown
AVC65	incac	 Unknown
FH192	incac	 Unknown
FH156	incac	 Unknown
FH15	incac	 Unknown
FH213	incac	 Unknown
FH27	incac	 Unknown
FH91	incac	 Unknown
AVC113	incac	 Unknown
FH214	incac	 Unknown
AVC224	incac	 Unknown
FH1	incac	 Unknown
AVC156	incac	 Unknown
FH182	incac	 Unknown
FH162	incac	 Unknown
AVC91	incac	 Unknown
AVC195	incac	 Unknown
AVC252	incac	 Unknown
AVC176	incac	 Unknown
FH14	incac	 Unknown
FH163	incac	 Unknown
AVC154	incac	 Unknown
FH44	incac	 Unknown
AVC251	incac	 Unknown
FH80	incac	 Unknown
FH181	incac	 Unknown
FH18	incac	 Unknown
FH47	incac	 Unknown
AVC12	incac	 Unknown
FH35	incac	 Unknown
AVC186	incac	 Unknown
FH10	incac	 Unknown
AVC30	incac	 Unknown
AVC19	incac	 Unknown
FH211	incac	 Unknown
FH114	incac	 Unknown
AVC209	incac	 Unknown
FH124	incac	 Unknown
AVC233	incac	 Unknown
AVC171	incac	 Unknown
FH141	incac	 Unknown
FH178	incac	 Unknown
AVC246	incac	 Unknown
AVC161	incac	 Unknown
FH48	incac	 Unknown
AVC25	incac	 Unknown
FH126	incac	 Unknown
AVC26	incac	 Unknown
FH39	incac	 Unknown
FH159	incac	 Unknown
AVC207	incac	 Unknown
AVC79	incac	 Unknown
FH201	incac	 Unknown
FH175	incac	 Unknown
FH193	incac	 Unknown
FH5	incac	 Unknown
FH187	incac	 Unknown
AVC249	incac	 Unknown
FH134	incac	 Unknown
AVC183	incac	 Unknown
FH50	incac	 Unknown
AVC153	incac	 Unknown
FH196	incac	 Unknown
FH63	incac	 Unknown
FH157	incac	 Unknown
FH190	incac	 Unknown
FH137	incac	 Unknown
AVC213	incac	 Unknown
FH167	incac	 Unknown
FH75	incac	 Unknown
FH56	incac	 Unknown
FH155	incac	 Unknown
FH64	incac	 Unknown
FH23	incac	 Unknown
FH45	incac	 Unknown
FH93	incac	 Unknown
FH84	incac	 Unknown
AVC160	incac	 Unknown
AVC10	incac	 Unknown
FH154	incac	 Unknown
AVC221	incac	 Unknown
AVC184	incac	 Unknown
FH200	incac	 Unknown
FH96	incac	 Unknown
FH185	incac	 Unknown
FH71	incac	 Unknown
FH121	incac	 Unknown
FH68	incac	 Unknown
FH77	incac	 Unknown
FH195	incac	 Unknown
FH168	incac	 Unknown
FH8	incac	 Unknown
AVC159	incac	 Unknown
FH16	incac	 Unknown
AVC80	incac	 Unknown
FH78	incac	 Unknown
FH60	incac	 Unknown
FH34	incac	 Unknown
AVC177	incac	 Unknown
FH55	incac	 Unknown
FH12	incac	 Unknown
FH173	incac	 Unknown
FH186	incac	 Unknown
FH51	incac	 Unknown
AVC196	incac	 Unknown
AVC4	incac	 Unknown
FH53	incac	 Unknown
FH119	incac	 Unknown
FH128	incac	 Unknown
FH130	incac	 Unknown
AVC211	incac	 Unknown
FH135	incac	 Unknown
FH99	incac	 Unknown
FH89	incac	 Unknown
FH120	incac	 Unknown
FH87	incac	 Unknown
AVC111	incac	 Unknown
AVC210	incac	 Unknown
FH94	incac	 Unknown
FH20	incac	 Unknown
FH82	incac	 Unknown
FH151	incac	 Unknown
AVC34	incac	 Unknown
AVC59	incac	 Unknown
AVC215	incac	 Unknown
FH106	incac	 Unknown
FH136	incac	 Unknown
FH57	incac	 Unknown
AVC218	incac	 Unknown
FH172	incac	 Unknown
AVC228	incac	 Unknown
AVC227	incac	 Unknown
FH95	incac	 Unknown
FH49	incac	 Unknown
AVC21	incac	 Unknown
AVC155	incac	 Unknown
AVC234	incac	 Unknown
FH108	incac	 Unknown
FH169	incac	 Unknown
FH2	incac	 Unknown
FH149	incac	 Unknown
AVC173	incac	 Unknown
FH176	incac	 Unknown
AVC198	incac	 Unknown
FH110	incac	 Unknown
FH85	incac	 Unknown
AVC107	incac	 Unknown
FH7	incac	 Unknown
FH158	incac	 Unknown
AVC223	incac	 Unknown
FH160	incac	 Unknown
FH3	incac	 Unknown
FH24	incac	 Unknown
FH100	incac	 Unknown
FH26	incac	 Unknown
FH189	incac	 Unknown
FH41	incac	 Unknown
AVC11	incac	 Unknown
FH4	incac	 Unknown
FH73	incac	 Unknown
FH122	incac	 Unknown
FH74	incac	 Unknown
FH164	incac	 Unknown
FH116	incac	 Unknown
FH72	incac	 Unknown
FH6	incac	 Unknown
FH11	incac	 Unknown
FH103	incac	 Unknown
AVC204	incac	 Unknown
FH179	incac	 Unknown
FH133	incac	 Unknown
FH184	incac	 Unknown
AVC94	incac	 Unknown
AVC197	incac	 Unknown
FH40	incac	 Unknown
AVC96	incac	 Unknown
FH42	incac	 Unknown
FH152	incac	 Unknown
FH183	incac	 Unknown
FH202	incac	 Unknown
FH198	incac	 Unknown
FH145	incac	 Unknown
FH170	incac	 Unknown
FH117	incac	 Unknown
FH81	incac	 Unknown
FH43	incac	 Unknown
FH188	incac	 Unknown
FH107	incac	 Unknown
FH66	incac	 Unknown
FH140	incac	 Unknown
AVC58	incac	 Unknown
FH177	incac	 Unknown
FH153	incac	 Unknown
