#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
9	318000	955000	636266	65
24	2950000	6050000	4500062	15
34	7410000	11116000	9262965	17
56	5994000	15000000	11989871	11
69	4891000	7337000	6113769	8
114	7212000	10820000	9015893	4
122	6222000	9334000	7777997	5
124	5461000	9315000	7387897	6
139	817000	1780000	1298715	95
140	688000	2067000	1377933	7
158	2253000	3380000	2816290	18
159	2430000	3646000	3038284	58
160	910000	1366000	1137855	281
162	2117000	4384000	3250767	15
164	1779000	2669000	2224027	5
172	3103000	4655000	3879078	7
173	3696000	5545000	4620087	332
174	3137000	4706000	3921559	112
192	5672000	8563000	7117205	32
193	5968000	9403000	7685216	4
195	1408000	2113000	1760586	18073
196	1600000	2200000	1900000	199
197	1375000	2064000	1719840	43402
198	1427000	2141000	1783873	47
199	1340000	2534000	1937433	238
200	1577000	2366000	1971264	15
201	1208000	1855000	1531487	447
202	1425000	2182000	1803524	6
204	1566000	2781000	2173965	12
206	1402000	2105000	1753386	9
210	1296000	1945000	1620653	2541
212	1221000	1833000	1527018	8
213	1705000	2559000	2131745	41
214	1287000	1931000	1609110	23
215	1428000	2890000	2158551	5
216	1764000	2647000	2205704	5
227	3657000	5487000	4572483	4
235	2627000	3941000	3283867	216
236	2632000	3949000	3290674	17
238	3263000	4895000	4078988	53
247	3034000	4552000	3792718	4
250	4041000	7136000	5588281	4
253	3771000	5883000	4826712	59
254	3366000	5143000	4254717	6
256	3351000	5027000	4188881	7
258	4111000	6167000	5138967	7
263	1431000	2148000	1789868	987
266	4152000	6229000	5190202	7
274	1701000	2635000	2167852	14
277	2446000	3671000	3058615	4
285	3905000	7391000	5648415	20
287	5248000	8021000	6634585	7649
292	6408000	10689000	8548432	187
293	2715000	4073000	3394111	14
294	4605000	8084000	6344426	254
296	4057000	6087000	5072204	37
298	5067000	8076000	6571188	9
300	4217000	6326000	5271368	24
301	2832000	6874000	4852859	23
303	3496000	8659000	6077558	182
305	4316000	6896000	5605618	277
316	2300000	6901000	4600489	125
317	4542000	7639000	6090746	466
329	3283000	7699000	5490874	53
337	5353000	8031000	6691685	19
339	4000000	6001000	5000745	77
343	3579000	5580000	4579499	66
346	4187000	6281000	5234061	436
347	3280000	5676000	4478019	445
353	3915000	5874000	4894338	10
354	4292000	6439000	5365318	5
358	2895000	8383000	5639262	204
359	4877000	9222000	7049703	88
373	4510000	7395000	5952335	58
375	5346000	12995000	9170725	32
380	5485000	8229000	6857480	20
381	4811000	8860000	6835209	23
382	5535000	8304000	6919332	231
384	6107000	9162000	7634792	421
396	5383000	8076000	6729303	24
398	4679000	8693000	6686334	11
399	4614000	8154000	6383928	8
408	2861000	8586000	5723986	10
421	4183000	6276000	5229455	4
435	2953000	4431000	3691697	8
436	2787000	4181000	3483869	11
437	2932000	4399000	3665656	4
438	2262000	4234000	3247995	29
442	1671000	4176000	2923610	16
446	2794000	4192000	3493198	3297
447	3297000	4947000	4121711	5
450	3330000	4996000	4162732	7
451	2623000	3935000	3279051	7
452	2666000	4000000	3333033	4
453	2841000	4263000	3552239	5
454	2460000	3691000	3075359	7
455	2699000	4050000	3374426	4
456	2469000	3705000	3087298	7
463	3084000	4628000	3856043	4
464	3030000	4600000	3815052	6
466	2890000	4337000	3613342	4
470	3188000	4784000	3985893	8965
471	3134000	4703000	3918659	28
477	2134000	3473000	2803373	6
478	1822000	2734000	2277882	5
480	1528000	2293000	1910359	205
483	1498000	2248000	1872773	7
484	1809000	2714000	2261439	10
485	1716000	2576000	2146174	905
486	1748000	2623000	2185479	39
487	1685000	2528000	2106461	3333
488	1618000	3368000	2492646	11
489	1657000	2487000	2072454	6
490	1903000	3155000	2529169	15
495	1921000	2883000	2401807	16
498	2655000	3983000	3318775	20
502	1762000	2644000	2203197	4
504	1533000	2300000	1916619	47
511	3326000	4990000	4158014	34
518	4159000	6240000	5199761	95
519	3819000	5729000	4773909	91
520	3284000	4927000	4105352	1037
521	2983000	4476000	3729395	26
529	2880000	6929000	4904887	35
536	3806000	5710000	4757892	26
539	1794000	2692000	2243138	20
542	1685000	2529000	2107011	28
545	3879000	5820000	4849770	148
546	4190000	6502000	5345835	901
548	4143000	6348000	5245455	341
549	3935000	5904000	4919733	109
550	3725000	6387000	5055696	301
552	3043000	4566000	3804174	138
553	3944000	5917000	4930534	143
554	3859000	5790000	4824612	36
556	3779000	5669000	4723912	5
562	4182000	6274000	5227678	123973
563	3322000	4985000	4153503	4
564	3818000	5728000	4773214	108
565	3596000	5395000	4495280	9
569	3793000	5691000	4742049	31
571	4868000	7411000	6139365	277
573	4480000	6721000	5600123	13637
575	4062000	7637000	5849675	50
577	4530000	6797000	5663732	35
580	4143000	6215000	5178883	4
582	3104000	4826000	3965372	196
584	3196000	4796000	3996101	717
585	3193000	5078000	4135404	22
587	3719000	5580000	4649193	119
588	3352000	5470000	4411042	63
614	4226000	6341000	5283729	28
615	3937000	6526000	5231794	1143
618	4138000	6208000	5173080	5
621	3402000	5273000	4337655	532
622	3239000	5461000	4350232	172
623	3556000	5336000	4446061	7493
624	3678000	5518000	4597664	11639
628	2193000	6580000	4386383	9
630	2814000	6242000	4527941	395
631	3934000	5903000	4918458	29
632	3689000	5535000	4612324	513
633	3772000	5660000	4715889	321
634	3443000	5165000	4304004	16
636	2979000	4470000	3724484	22
644	3970000	5956000	4962727	167
645	3842000	5764000	4803031	69
646	3746000	5620000	4683328	11
648	3609000	5414000	4511432	84
650	2859000	6224000	4541146	23
651	3469000	5817000	4642943	22
652	3396000	5095000	4245323	4
654	3499000	5683000	4590976	153
656	3668000	5503000	4585624	11
659	3653000	5480000	4566487	22
661	3886000	5830000	4857788	26
663	4181000	6273000	5227452	204
666	3252000	4880000	4066091	3405
668	3394000	5093000	4243600	69
669	4705000	7058000	5881490	51
670	4117000	6177000	5147137	4020
672	4030000	6046000	5037731	575
673	3277000	4916000	4096279	10
674	3461000	5193000	4327408	26
675	3040000	4561000	3800176	6
676	3849000	5774000	4811547	57
680	4253000	6469000	5360624	74
685	3753000	5630000	4691424	9
687	2353000	7062000	4707829	4
689	4605000	6909000	5757001	12
691	4129000	6194000	5161447	9
703	2856000	4671000	3763376	25
714	1625000	2705000	2164700	89
715	1137000	3412000	2274482	33
716	1987000	2982000	2484636	7
726	1525000	2306000	1915472	62
727	1478000	2218000	1847767	763
728	2042000	3071000	2556353	43
729	1563000	2537000	2049972	56
730	1303000	1956000	1629550	31
731	1546000	2808000	2176539	56
732	1866000	2801000	2333474	22
733	1568000	3224000	2396110	5
735	1674000	2513000	2093459	9
736	1631000	2448000	2039195	4
738	1587000	2902000	2244420	96
739	1577000	2367000	1971698	10
747	1835000	2815000	2325022	275
750	1998000	2998000	2498233	28
758	1863000	2796000	2329729	16
770	852000	1492000	1172327	23
774	1129000	1695000	1412164	17
777	1605000	2408000	2006411	64
779	1188000	1783000	1485110	23
781	1005000	1508000	1256573	4
782	889000	1334000	1111521	12
783	1014000	1522000	1268231	12
784	1008000	3027000	2017855	18
785	889000	1335000	1112155	4
803	1266000	1901000	1583713	18
807	1566000	2351000	1958588	6
813	523000	1569000	1045934	174
817	4199000	6300000	5249753	315
818	4900000	8008000	6454010	269
820	3869000	5999000	4934436	197
821	4194000	6292000	5242972	269
823	3992000	6360000	5175879	119
827	1279000	2052000	1665702	11
831	2330000	6993000	4661921	11
833	2941000	4413000	3676859	4
837	1867000	2801000	2333958	67
839	2790000	4329000	3559386	9
847	1972000	2959000	2465377	7
849	1417000	2127000	1772479	4
850	1631000	3661000	2646367	10
851	1622000	3196000	2408755	71
853	2276000	3789000	3032382	87
856	2231000	4380000	3305835	8
859	1099000	3277000	2187836	46
860	1978000	2968000	2472857	8
861	2831000	4247000	3539037	7
865	2408000	3613000	3010135	9
870	1093000	1640000	1366555	4
876	2548000	4188000	3367729	8
881	2987000	4482000	3734357	5
891	3044000	4568000	3805861	4
897	3543000	5316000	4429203	4
901	2260000	3392000	2826240	6
905	1863000	2796000	2329769	5
907	1965000	2949000	2456855	14
915	2198000	3298000	2748156	4
916	1990000	3075000	2532595	7
920	1673000	4546000	3109318	16
930	2454000	4948000	3700877	19
945	939000	1410000	1174357	9
948	1106000	1898000	1502024	29
955	657000	1767000	1211929	31
959	2639000	4914000	3776243	8
964	4398000	6598000	5497829	5
971	1829000	4401000	3114938	13
979	3036000	4555000	3795066	4
986	4113000	7009000	5560999	9
989	3981000	5973000	4977085	4
996	2604000	3907000	3255527	59
1010	3787000	5681000	4734140	6
1015	1903000	2856000	2379308	5
1018	2123000	3185000	2653757	7
1019	2398000	3598000	2997845	7
1035	3357000	5036000	4196438	4
1053	2154000	3232000	2692525	4
1061	3007000	4512000	3759534	14
1063	3708000	5563000	4635445	25
1066	1656000	4970000	3313105	6
1074	3778000	5669000	4723593	5
1076	3526000	7272000	5399163	22
1080	3172000	4759000	3965167	5
1085	3315000	5391000	4352825	5
1086	2686000	4030000	3357672	5
1094	1551000	2510000	2030362	6
1126	2966000	6890000	4927998	54
1160	4329000	6494000	5411562	7
1165	5602000	8405000	7003498	5
1176	2173000	6521000	4347270	9
1184	5614000	8423000	7018568	4
1219	845000	2536000	1690556	59
1229	2817000	4227000	3522111	5
1231	2587000	3882000	3234309	13
1238	2652000	4326000	3489398	84
1244	1551000	2328000	1939232	10
1245	988000	2909000	1948225	85
1246	1390000	2086000	1738189	19
1247	1498000	2285000	1891588	220
1249	1592000	2389000	1990302	26
1252	1418000	2128000	1772787	17
1254	1548000	2477000	2012581	169
1255	1465000	2199000	1831869	68
1260	1523000	2286000	1904197	23
1261	1663000	2496000	2079819	8
1264	3387000	5082000	4234989	7
1265	2417000	4858000	3637404	15
1267	1981000	2973000	2476951	6
1270	1939000	3056000	2497512	81
