
code	|	taxid	|	primary taxid	|	taxname
1	|	9	|	9	|	Buchnera aphidicola
1	|	24	|	24	|	Shewanella putrefaciens
1	|	34	|	34	|	Myxococcus xanthus
1	|	56	|	56	|	Sorangium cellulosum
1	|	69	|	69	|	Lysobacter enzymogenes
1	|	114	|	114	|	Gemmata obscuriglobus
1	|	122	|	122	|	Gimesia maris
1	|	124	|	124	|	Blastopirellula marina
1	|	139	|	139	|	Borreliella burgdorferi
1	|	140	|	140	|	Borrelia hermsii
1	|	158	|	158	|	Treponema denticola
1	|	159	|	159	|	Brachyspira hyodysenteriae
1	|	160	|	160	|	Treponema pallidum
1	|	162	|	162	|	Treponema phagedenis
1	|	164	|	164	|	Treponema pectinovorum
1	|	172	|	172	|	Leptospira biflexa
1	|	173	|	173	|	Leptospira interrogans
1	|	174	|	174	|	Leptospira borgpetersenii
1	|	192	|	192	|	Azospirillum brasilense
1	|	193	|	193	|	Azospirillum lipoferum
1	|	195	|	195	|	Campylobacter coli
1	|	196	|	196	|	Campylobacter fetus
1	|	197	|	197	|	Campylobacter jejuni
1	|	198	|	198	|	Campylobacter hyointestinalis
1	|	199	|	199	|	Campylobacter concisus
1	|	200	|	200	|	Campylobacter curvus
1	|	201	|	201	|	Campylobacter lari
1	|	202	|	202	|	Campylobacter mucosalis
1	|	204	|	204	|	Campylobacter showae
1	|	206	|	206	|	Campylobacter sputorum
1	|	210	|	210	|	Helicobacter pylori
1	|	212	|	212	|	Helicobacter acinonychis
1	|	213	|	213	|	Helicobacter cinaedi
1	|	214	|	214	|	Helicobacter felis
1	|	215	|	215	|	Helicobacter fennelliae
1	|	216	|	216	|	Helicobacter muridarum
1	|	227	|	227	|	Pseudoalteromonas carrageenovora
1	|	235	|	235	|	Brucella abortus
1	|	236	|	236	|	Brucella ovis
1	|	238	|	238	|	Elizabethkingia meningoseptica
1	|	247	|	247	|	Empedobacter brevis
1	|	250	|	250	|	Chryseobacterium gleum
1	|	253	|	253	|	Chryseobacterium indologenes
1	|	254	|	254	|	Chryseobacterium indoltheticum
1	|	256	|	256	|	Myroides odoratus
1	|	258	|	258	|	Sphingobacterium spiritivorum
1	|	263	|	263	|	Francisella tularensis
1	|	266	|	266	|	Paracoccus denitrificans
1	|	274	|	274	|	Thermus thermophilus
1	|	277	|	277	|	Meiothermus ruber
1	|	285	|	285	|	Comamonas testosteroni
1	|	287	|	287	|	Pseudomonas aeruginosa
1	|	292	|	292	|	Burkholderia cepacia
1	|	293	|	293	|	Brevundimonas diminuta
1	|	294	|	294	|	Pseudomonas fluorescens
1	|	296	|	296	|	Pseudomonas fragi
1	|	298	|	298	|	Pseudomonas marginalis
1	|	300	|	300	|	Pseudomonas mendocina
1	|	301	|	301	|	Pseudomonas oleovorans
1	|	303	|	303	|	Pseudomonas putida
1	|	305	|	305	|	Ralstonia solanacearum
1	|	316	|	316	|	Pseudomonas stutzeri
1	|	317	|	317	|	Pseudomonas syringae
1	|	329	|	329	|	Ralstonia pickettii
1	|	337	|	337	|	Burkholderia glumae
1	|	339	|	339	|	Xanthomonas campestris
1	|	343	|	343	|	Xanthomonas translucens
1	|	346	|	346	|	Xanthomonas citri
1	|	347	|	347	|	Xanthomonas oryzae
1	|	353	|	353	|	Azotobacter chroococcum
1	|	354	|	354	|	Azotobacter vinelandii
1	|	358	|	358	|	Agrobacterium tumefaciens
1	|	359	|	359	|	Agrobacterium rhizogenes
1	|	373	|	373	|	Agrobacterium vitis
1	|	375	|	375	|	Bradyrhizobium japonicum
1	|	380	|	380	|	Sinorhizobium fredii
1	|	381	|	381	|	Mesorhizobium loti
1	|	382	|	382	|	Sinorhizobium meliloti
1	|	384	|	384	|	Rhizobium leguminosarum
1	|	396	|	396	|	Rhizobium phaseoli
1	|	398	|	398	|	Rhizobium tropici
1	|	399	|	399	|	Neorhizobium galegae
1	|	408	|	408	|	Methylorubrum extorquens
1	|	421	|	421	|	Methylomonas methanica
1	|	435	|	435	|	Acetobacter aceti
1	|	436	|	436	|	Komagataeibacter hansenii
1	|	437	|	437	|	Acidomonas methanolica
1	|	438	|	438	|	Acetobacter pasteurianus
1	|	442	|	442	|	Gluconobacter oxydans
1	|	446	|	446	|	Legionella pneumophila
1	|	447	|	447	|	Fluoribacter bozemanae
1	|	450	|	450	|	Legionella longbeachae
1	|	451	|	451	|	Tatlockia micdadei
1	|	452	|	452	|	Legionella spiritensis
1	|	453	|	453	|	Legionella feeleii
1	|	454	|	454	|	Legionella israelensis
1	|	455	|	455	|	Legionella jamestowniensis
1	|	456	|	456	|	Legionella jordanis
1	|	463	|	463	|	Fluoribacter dumoffii
1	|	464	|	464	|	Fluoribacter gormanii
1	|	466	|	466	|	Legionella maceachernii
1	|	470	|	470	|	Acinetobacter baumannii
1	|	471	|	471	|	Acinetobacter calcoaceticus
1	|	477	|	477	|	Moraxella lacunata
1	|	478	|	478	|	Moraxella nonliquefaciens
1	|	480	|	480	|	Moraxella catarrhalis
1	|	483	|	483	|	Neisseria cinerea
1	|	484	|	484	|	Neisseria flavescens
1	|	485	|	485	|	Neisseria gonorrhoeae
1	|	486	|	486	|	Neisseria lactamica
