#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
FH8.fasta	contig00001	6748	7650	+	fimH_CP015076.1	1-903/903	===============	0/0	100.00	98.12	EC_custom_Feb_2020		fimH_CP015076.1	
FH8.fasta	contig00003	288651	291779	+	silA_KU248945.1	1-3129/3147	========/======	7/16	99.17	76.89	EC_custom_Feb_2020		silA_KU248945.1	
FH8.fasta	contig00007	162978	164558	+	malX_AF081286.1:c2588-1008	1-1581/1581	===============	0/0	100.00	94.12	EC_custom_Feb_2020		malX_AF081286.1:c2588-1008	
FH8.fasta	contig00012	744	965	+	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	95.50	EC_custom_Feb_2020		yeeT_|VFG1529	
FH8.fasta	contig00016	15859	17016	-	terA_CP019559.1	1-1158/1158	===============	0/0	100.00	99.83	EC_custom_Feb_2020		terA_CP019559.1	
FH8.fasta	contig00021	33880	35901	-	fyuA_Z35106.1	1-2022/2022	===============	0/0	100.00	99.65	EC_custom_Feb_2020		fyuA_Z35106.1	
FH8.fasta	contig00021	49089	55214	-	irp2_(gi:218695586)|VFG034095	1-6126/6126	===============	0/0	100.00	99.87	EC_custom_Feb_2020		irp2_(gi:218695586)|VFG034095	
FH8.fasta	contig00026	301	522	+	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	95.95	EC_custom_Feb_2020		yeeT_|VFG1529	
FH8.fasta	contig00046	3010	3763	-	hek_|VFG1539	3-756/756	===============	0/0	99.74	97.75	EC_custom_Feb_2020		hek_|VFG1539	
FH8.fasta	contig00047	15940	16671	-	traT_CP018978.1	1-732/732	===============	0/0	100.00	99.18	EC_custom_Feb_2020		traT_CP018978.1	
FH8.fasta	contig00048	1141	1362	+	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	98.65	EC_custom_Feb_2020		yeeT_|VFG1529	
FH8.fasta	contig00055	4436	6550	-	cvaB_AY545598.5	1-2115/2115	===============	0/0	100.00	89.83	EC_custom_Feb_2020		cvaB_AY545598.5	
