name	scheme	ST	allele1	allele2	allele3	allele4	allele5	allele6	allele7
AVC191	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH138	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH171	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH88	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH212	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH97	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH19	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC219	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC237	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AVC7	ecoli	3998	adk(6)	fumC(29)	gyrB(22)	icd(1)	mdh(11)	purA(8)	recA(7)
FH22	ecoli	1914	adk(83)	fumC(306)	gyrB(245)	icd(260)	mdh(209)	purA(16)	recA(181)
FH144	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
AVC64	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH25	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH92	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH37	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH69	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC38	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH52	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC201	ecoli	23	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(13)	recA(7)
FH104	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH180	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH61	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH142	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
AVC5	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH58	ecoli	4710	adk(6)	fumC(11)	gyrB(230)	icd(1)	mdh(8)	purA(8)	recA(6)
AVC98	ecoli	1640	adk(6)	fumC(31)	gyrB(4)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC235	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC20	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
AVC256	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC97	ecoli	79	adk(37)	fumC(38)	gyrB(19)	icd(32)	mdh(17)	purA(7)	recA(26)
FH83	ecoli	752	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(49)
FH132	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH203	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC123	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
FH166	ecoli	13152	adk(20)	fumC(~45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC51	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
FH65	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH62	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH125	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
FH21	ecoli	1914	adk(83)	fumC(306)	gyrB(245)	icd(260)	mdh(209)	purA(16)	recA(181)
AVC60	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH150	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AVC148	ecoli	350	adk(6)	fumC(31)	gyrB(83)	icd(28)	mdh(1)	purA(1)	recA(2)
FH207	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH67	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH148	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH113	ecoli	355	adk(36)	fumC(24)	gyrB(10)	icd(13)	mdh(17)	purA(10)	recA(25)
FH165	ecoli	101	adk(43)	fumC(41)	gyrB(15)	icd(18)	mdh(11)	purA(7)	recA(6)
FH161	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH31	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH28	ecoli	101	adk(43)	fumC(41)	gyrB(15)	icd(18)	mdh(11)	purA(7)	recA(6)
AVC61	ecoli	429	adk(97)	fumC(40)	gyrB(93)	icd(13)	mdh(23)	purA(28)	recA(66)
FH101	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH36	ecoli	101	adk(43)	fumC(41)	gyrB(15)	icd(18)	mdh(11)	purA(7)	recA(6)
FH206	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH59	ecoli	350	adk(6)	fumC(31)	gyrB(83)	icd(28)	mdh(1)	purA(1)	recA(2)
FH46	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
FH9	ecoli	1818	adk(6)	fumC(282)	gyrB(230)	icd(1)	mdh(8)	purA(8)	recA(173)
FH146	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH127	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH111	ecoli	355	adk(36)	fumC(24)	gyrB(10)	icd(13)	mdh(17)	purA(10)	recA(25)
FH204	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH123	ecoli	-	adk(21)	fumC(11,35)	gyrB(4,27)	icd(6,10)	mdh(5)	purA(5)	recA(6)
FH38	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH174	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
FH209	ecoli	57	adk(6)	fumC(31)	gyrB(5)	icd(28)	mdh(1)	purA(1)	recA(2)
AVC216	ecoli	973	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(130)	purA(129)	recA(4)
FH30	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
FH109	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC242	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
FH210	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
FH98	ecoli	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
AVC29	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AVC106	ecoli	8398	adk(35)	fumC(132)	gyrB(2)	icd(27)	mdh(718)	purA(5)	recA(4)
AVC179	ecoli	362	adk(62)	fumC(100)	gyrB(17)	icd(31)	mdh(5)	purA(5)	recA(4)
FH76	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
AVC65	ecoli	973	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(130)	purA(129)	recA(4)
