name	Locus	Identity	Coverage	Alignment Length	Allele Length	Gaps	Allele	Simple Allele	IncF RST
AVC191	FIA	-	-	-	-	-	-	-	C4:A-:B1
AVC191	FIB	100.0	100.0	373	373	0	FIB_1	B1	C4:A-:B1
AVC191	FIC	100.0	100.0	200	200	0	FIC_4	C4	C4:A-:B1
AVC191	FII	-	-	-	-	-	-	-	C4:A-:B1
AVC191	FIIK	-	-	-	-	-	-	-	C4:A-:B1
AVC191	FIIS	-	-	-	-	-	-	-	C4:A-:B1
AVC191	FIIY	-	-	-	-	-	-	-	C4:A-:B1
FH138	FIA	-	-	-	-	-	-	-	F76/C4:A-:B1
FH138	FIB	100.0	100.0	373	373	0	FIB_1	B1	F76/C4:A-:B1
FH138	FIC	100.0	100.0	200	200	0	FIC_4	C4	F76/C4:A-:B1
FH138	FII	100.0	100.0	156	156	0	FII_76	F76	F76/C4:A-:B1
FH138	FIIK	-	-	-	-	-	-	-	F76/C4:A-:B1
FH138	FIIS	-	-	-	-	-	-	-	F76/C4:A-:B1
FH138	FIIY	-	-	-	-	-	-	-	F76/C4:A-:B1
FH171	FIA	-	-	-	-	-	-	-	F29:A-:B53
FH171	FIB	100.0	100.0	373	373	0	FIB_53	B53	F29:A-:B53
FH171	FIC	-	-	-	-	-	-	-	F29:A-:B53
FH171	FII	100.0	100.0	155	155	0	FII_29	F29	F29:A-:B53
FH171	FIIK	-	-	-	-	-	-	-	F29:A-:B53
FH171	FIIS	-	-	-	-	-	-	-	F29:A-:B53
FH171	FIIY	-	-	-	-	-	-	-	F29:A-:B53
FH88	FIA	-	-	-	-	-	-	-	C4:A-:B1
FH88	FIB	100.0	100.0	373	373	0	FIB_1	B1	C4:A-:B1
FH88	FIC	100.0	100.0	200	200	0	FIC_4	C4	C4:A-:B1
FH88	FII	-	-	-	-	-	-	-	C4:A-:B1
FH88	FIIK	-	-	-	-	-	-	-	C4:A-:B1
FH88	FIIS	-	-	-	-	-	-	-	C4:A-:B1
FH88	FIIY	-	-	-	-	-	-	-	C4:A-:B1
FH212	FIA	-	-	-	-	-	-	-	C4:A-:B1
FH212	FIB	100.0	100.0	373	373	0	FIB_1	B1	C4:A-:B1
FH212	FIC	100.0	100.0	200	200	0	FIC_4	C4	C4:A-:B1
FH212	FII	-	-	-	-	-	-	-	C4:A-:B1
FH212	FIIK	-	-	-	-	-	-	-	C4:A-:B1
FH212	FIIS	-	-	-	-	-	-	-	C4:A-:B1
FH212	FIIY	-	-	-	-	-	-	-	C4:A-:B1
FH97	FIA	-	-	-	-	-	-	-	C4:A-:B1
FH97	FIB	100.0	100.0	373	373	0	FIB_1	B1	C4:A-:B1
FH97	FIC	100.0	100.0	200	200	0	FIC_4	C4	C4:A-:B1
FH97	FII	-	-	-	-	-	-	-	C4:A-:B1
FH97	FIIK	-	-	-	-	-	-	-	C4:A-:B1
FH97	FIIS	-	-	-	-	-	-	-	C4:A-:B1
FH97	FIIY	-	-	-	-	-	-	-	C4:A-:B1
FH19	FIA	-	-	-	-	-	-	-	F24:A-:B1
FH19	FIB	100.0	100.0	373	373	0	FIB_1	B1	F24:A-:B1
FH19	FIC	-	-	-	-	-	-	-	F24:A-:B1
FH19	FII	100.0	100.0	158	158	0	FII_24	F24	F24:A-:B1
FH19	FIIK	-	-	-	-	-	-	-	F24:A-:B1
FH19	FIIS	-	-	-	-	-	-	-	F24:A-:B1
FH19	FIIY	-	-	-	-	-	-	-	F24:A-:B1
AVC219	FIA	-	-	-	-	-	-	-	C4:A-:B1
AVC219	FIB	100.0	100.0	373	373	0	FIB_1	B1	C4:A-:B1
AVC219	FIC	100.0	100.0	200	200	0	FIC_4	C4	C4:A-:B1
AVC219	FII	-	-	-	-	-	-	-	C4:A-:B1
AVC219	FIIK	-	-	-	-	-	-	-	C4:A-:B1
AVC219	FIIS	-	-	-	-	-	-	-	C4:A-:B1
AVC219	FIIY	-	-	-	-	-	-	-	C4:A-:B1
AVC237	FIA	-	-	-	-	-	-	-	F24:A-:B1
AVC237	FIB	100.0	100.0	373	373	0	FIB_1	B1	F24:A-:B1
AVC237	FIC	-	-	-	-	-	-	-	F24:A-:B1
AVC237	FII	100.0	100.0	158	158	0	FII_24	F24	F24:A-:B1
AVC237	FIIK	-	-	-	-	-	-	-	F24:A-:B1
AVC237	FIIS	-	-	-	-	-	-	-	F24:A-:B1
AVC237	FIIY	-	-	-	-	-	-	-	F24:A-:B1
AVC7	FIA	-	-	-	-	-	-	-	F24:A-:B1
AVC7	FIB	100.0	100.0	373	373	0	FIB_1	B1	F24:A-:B1
AVC7	FIC	-	-	-	-	-	-	-	F24:A-:B1
AVC7	FII	100.0	100.0	158	158	0	FII_24	F24	F24:A-:B1
AVC7	FIIK	-	-	-	-	-	-	-	F24:A-:B1
AVC7	FIIS	-	-	-	-	-	-	-	F24:A-:B1
AVC7	FIIY	-	-	-	-	-	-	-	F24:A-:B1
FH22	FIA	-	-	-	-	-	-	-	F24:A-:B40
FH22	FIB	100.0	100.0	373	373	0	FIB_40	B40	F24:A-:B40
FH22	FIC	-	-	-	-	-	-	-	F24:A-:B40
