snp-dists 0.6.3,FH38,FH109,FH194,FH88,FH94,FH128,FH91,FH82,FH98,FH127,FH105,FH107,FH90,FH96,FH80,FH104,FH89,FH99,FH132,FH97,FH193,FH37,FH78,FH102,FH39,FH95,FH126,FH92,FH100,FH103,FH138,FH81,FH101,FH137,FH93,FH108,FH136,FH79
FH38,0,202,5931,181,207,7692,181,7678,175,20,211,48,29,202,7678,57,181,175,7537,190,5920,154,191,202,174,222,7690,190,175,202,190,7677,184,190,202,211,174,7691
FH109,202,0,5805,55,5,7566,55,7552,49,202,9,154,211,0,7552,163,55,49,7719,64,5794,48,65,0,68,20,7564,64,49,0,64,7551,58,64,0,9,48,7565
FH194,5931,5805,0,5780,5810,2959,5780,2947,5774,5927,5814,5959,5936,5805,2947,5968,5780,5774,3114,5789,29,5777,5790,5805,5797,5825,2959,5789,5774,5805,5789,2946,5783,5789,5805,5814,5773,2960
FH88,181,55,5780,0,60,7541,0,7527,18,171,64,209,156,55,7527,218,0,18,7694,33,5769,27,40,55,47,75,7539,9,18,55,33,7526,27,33,55,64,17,7540
FH94,207,5,5810,60,0,7571,60,7557,54,207,14,159,216,5,7557,168,60,54,7724,69,5799,53,70,5,73,25,7569,69,54,5,69,7556,63,69,5,14,53,7570
FH128,7692,7566,2959,7541,7571,0,7541,66,7535,7688,7575,7720,7697,7566,66,7729,7541,7535,163,7550,2950,7538,7551,7566,7558,7586,8,7550,7535,7566,7550,65,7544,7550,7566,7575,7534,79
FH91,181,55,5780,0,60,7541,0,7527,18,171,64,209,156,55,7527,218,0,18,7694,33,5769,27,40,55,47,75,7539,9,18,55,33,7526,27,33,55,64,17,7540
FH82,7678,7552,2947,7527,7557,66,7527,0,7521,7674,7561,7706,7683,7552,2,7715,7527,7521,211,7536,2930,7524,7537,7552,7544,7572,58,7536,7521,7552,7536,1,7530,7536,7552,7561,7520,15
FH98,175,49,5774,18,54,7535,18,7521,0,165,58,203,174,49,7521,212,18,0,7688,15,5763,21,34,49,41,69,7533,27,0,49,27,7520,9,27,49,58,11,7534
FH127,20,202,5927,171,207,7688,171,7674,165,0,211,48,19,202,7674,57,171,165,7533,180,5916,174,187,202,194,222,7686,180,165,202,170,7673,174,170,202,211,154,7687
FH105,211,9,5814,64,14,7575,64,7561,58,211,0,163,220,9,7561,154,64,58,7728,55,5803,57,56,9,59,11,7573,55,58,9,55,7560,49,55,9,0,57,7574
FH107,48,154,5959,209,159,7720,209,7706,203,48,163,0,57,154,7706,9,209,203,7565,218,5948,202,219,154,222,174,7718,218,203,154,218,7705,212,218,154,163,202,7719
