name	Fimtype	Identity	Query/HSP	Contig	Position in contig	Query length	HSP length
AVC191	fimH97	100.0	489/489	contig00001	6778..7266	489	489
FH138	fimH526	100.0	489/489	contig00017	83952..84440	489	489
FH171	fimH97	100.0	489/489	contig00002	308320..308808	489	489
FH88	fimH526	100.0	489/489	contig00013	106462..106950	489	489
FH212	fimH54	100.0	489/489	contig00043	19237..19725	489	489
FH97	fimH526	100.0	489/489	contig00015	106675..107163	489	489
FH19	fimH97	100.0	489/489	contig00009	22418..22906	489	489
AVC219	fimH759	100.0	489/489	contig00028	46779..47267	489	489
AVC237	fimH23	100.0	489/489	contig00015	114460..114948	489	489
AVC7	fimH86	100.0	489/489	contig00016	16566..17054	489	489
FH22	fimH550	100.0	489/489	contig00005	6292..6780	489	489
FH144	fimH27	100.0	489/489	contig00022	60182..60670	489	489
AVC64	fimH158	100.0	489/489	contig00018	30441..30929	489	489
FH25	fimH97	100.0	489/489	contig00002	308364..308852	489	489
FH92	fimH526	100.0	489/489	contig00015	19108..19596	489	489
FH37	fimH526	100.0	489/489	contig00017	17945..18433	489	489
FH69	fimH97	100.0	489/489	contig00025	54566..55054	489	489
AVC38	fimH30	100.0	489/489	contig00023	60612..61100	489	489
FH52	fimH759	100.0	489/489	contig00030	41758..42246	489	489
AVC201	fimH32	100.0	489/489	contig00002	111697..112185	489	489
FH104	fimH526	100.0	489/489	contig00012	18743..19231	489	489
FH180	fimH97	100.0	489/489	contig00003	308983..309471	489	489
FH61	fimH27	100.0	489/489	contig00022	35747..36235	489	489
FH142	fimH27	100.0	489/489	contig00004	39545..40033	489	489
AVC5	fimH97	100.0	489/489	contig00001	6779..7267	489	489
FH58	fimH86	100.0	489/489	contig00083	2508..2996	489	489
AVC98	fimH31	100.0	489/489	contig00050	6311..6799	489	489
AVC235	fimH526	100.0	489/489	contig00019	77554..78042	489	489
AVC20	fimH20	100.0	489/489	contig00001	382427..382915	489	489
AVC256	fimH27	100.0	489/489	contig00010	6021..6509	489	489
AVC97	fimH27	100.0	489/489	contig00013	35338..35826	489	489
FH83	fimH24	100.0	489/489	contig00036	22772..23260	489	489
FH132	fimH30	100.0	489/489	contig00019	7828..8316	489	489
FH203	fimH97	100.0	489/489	contig00011	22418..22906	489	489
AVC123	fimH54	100.0	489/489	contig00028	20112..20600	489	489
FH166	fimH97	100.0	489/489	contig00001	308569..309057	489	489
AVC51	fimH65	100.0	489/489	contig00019	13293..13781	489	489
FH65	fimH27	100.0	489/489	contig00021	60317..60805	489	489
FH62	fimH27	100.0	489/489	contig00002	312930..313418	489	489
FH125	fimH54	100.0	489/489	contig00039	15507..15995	489	489
FH21	fimH550	100.0	489/489	contig00002	161397..161885	489	489
AVC60	fimH97	100.0	489/489	contig00001	6788..7276	489	489
FH150	fimH366	100.0	489/489	contig00015	94858..95346	489	489
AVC148	fimH142	100.0	489/489	contig00046	4087..4575	489	489
FH207	fimH759	100.0	489/489	contig00029	20453..20941	489	489
FH67	fimH27	100.0	489/489	contig00021	39513..40001	489	489
FH148	fimH27	100.0	489/489	contig00003	313148..313636	489	489
FH113	fimH154	100.0	489/489	contig00005	37810..38298	489	489
FH165	fimH86	100.0	489/489	contig00011	102003..102491	489	489
FH161	fimH97	100.0	489/489	contig00017	54566..55054	489	489
FH31	fimH759	100.0	489/489	contig00030	20453..20941	489	489
FH28	fimH86	100.0	489/489	contig00013	101996..102484	489	489
AVC61	fimH20	100.0	489/489	contig00002	382852..383340	489	489
FH101	fimH526	100.0	489/489	contig00017	83952..84440	489	489
FH36	fimH86	100.0	489/489	contig00016	101996..102484	489	489
FH206	fimH759	100.0	489/489	contig00026	46163..46651	489	489
FH59	fimH142	100.0	489/489	contig00045	4079..4567	489	489
FH46	fimH158	100.0	489/489	contig00019	30433..30921	489	489
FH9	fimH86	100.0	489/489	contig00020	21268..21756	489	489
FH146	fimH27	100.0	489/489	contig00004	312808..313296	489	489
FH127	fimH526	100.0	489/489	contig00002	10124..10612	489	489
FH111	fimH154	100.0	489/489	contig00009	226538..227026	489	489
FH204	fimH97	100.0	489/489	contig00002	308295..308783	489	489
FH123	fimH27	100.0	489/489	contig00132	8904..9392	489	489
FH38	fimH526	100.0	489/489	contig00015	106462..106950	489	489
FH174	fimH97	100.0	489/489	contig00001	29238..29726	489	489
FH209	fimH759	100.0	489/489	contig00026	46163..46651	489	489
AVC216	fimH26	100.0	489/489	contig00111	6011..6499	489	489
FH30	fimH27	100.0	489/489	contig00013	125462..125950	489	489
FH109	fimH526	100.0	489/489	contig00003	18530..19018	489	489
AVC242	fimH27	100.0	489/489	contig00041	7216..7704	489	489
FH210	fimH121	100.0	489/489	contig00005	147307..147795	489	489
FH98	fimH526	100.0	489/489	contig00002	379511..379999	489	489
AVC29	fimH97	100.0	489/489	contig00037	14532..15020	489	489
AVC106	fimH127	100.0	489/489	contig00011	82641..83129	489	489
AVC179	fimH96	100.0	489/489	contig00006	77856..78344	489	489
FH76	fimH27	100.0	489/489	contig00003	39545..40033	489	489
AVC65	fimH26	100.0	489/489	contig00017	69238..69726	489	489
FH192	fimH97	100.0	489/489	contig00001	126336..126824	489	489
FH156	fimH97	100.0	489/489	contig00002	29238..29726	489	489
FH15	fimH86	100.0	489/489	contig00014	21268..21756	489	489
FH213	fimH54	100.0	489/489	contig00047	19237..19725	489	489
FH27	fimH97	100.0	489/489	contig00001	308661..309149	489	489
FH91	fimH526	100.0	489/489	contig00003	18743..19231	489	489
AVC113	fimH121	100.0	489/489	contig00016	4534..5022	489	489
FH214	fimH759	100.0	489/489	contig00027	20453..20941	489	489
AVC224	fimH142	100.0	489/489	contig00048	4079..4567	489	489
FH1	fimH86	100.0	489/489	contig00018	69407..69895	489	489
AVC156	fimH96	100.0	489/489	contig00004	159076..159564	489	489
FH182	fimH97	100.0	489/489	contig00002	17766..18254	489	489
FH162	fimH97	100.0	489/489	contig00001	308940..309428	489	489
AVC91	fimH26	100.0	489/489	contig00019	51833..52321	489	489
AVC195	fimH158	100.0	489/489	contig00016	30441..30929	489	489
AVC252	fimH27	100.0	489/489	contig00050	5973..6461	489	489
AVC176	fimH27	100.0	489/489	contig00001	338291..338779	489	489
FH14	fimH23	100.0	489/489	contig00024	58967..59455	489	489
FH163	fimH97	100.0	489/489	contig00001	308320..308808	489	489
AVC154	fimH97	100.0	489/489	contig00005	22426..22914	489	489
FH44	fimH158	100.0	489/489	contig00017	30433..30921	489	489
AVC251	fimH5	100.0	489/489	contig00015	37162..37650	489	489
FH80	fimH30	100.0	489/489	contig00018	7796..8284	489	489
FH181	fimH97	100.0	489/489	contig00002	308951..309439	489	489
FH47	fimH158	100.0	489/489	contig00020	76796..77284	489	489
AVC12	fimH142	100.0	489/489	contig00051	24522..25010	489	489
FH35	fimH759	100.0	489/489	contig00034	35275..35763	489	489
AVC186	fimH142	100.0	489/489	contig00048	4079..4567	489	489
FH10	fimH54	100.0	489/489	contig00019	17376..17864	489	489
AVC30	fimH97	100.0	489/489	contig00008	22412..22900	489	489
AVC19	fimH20	100.0	489/489	contig00004	205060..205548	489	489
FH211	fimH759	100.0	489/489	contig00025	46163..46651	489	489
FH114	fimH916	100.0	489/489	contig00011	126560..127048	489	489
AVC209	fimH759	100.0	489/489	contig00005	20461..20949	489	489
AVC233	fimH158	100.0	489/489	contig00015	76804..77292	489	489
AVC171	fimH27	100.0	489/489	contig00004	35501..35989	489	489
FH141	fimH27	100.0	489/489	contig00003	39545..40033	489	489
FH178	fimH97	100.0	489/489	contig00001	126336..126824	489	489
AVC246	fimH158	100.0	489/489	contig00015	30441..30929	489	489
AVC161	fimH35	100.0	489/489	contig00012	63555..64043	489	489
AVC25	fimH20	100.0	489/489	contig00004	322225..322713	489	489
FH126	fimH30	100.0	489/489	contig00020	7828..8316	489	489
AVC26	fimH20	100.0	489/489	contig00001	382844..383332	489	489
FH39	fimH526	100.0	489/489	contig00017	17945..18433	489	489
FH159	fimH97	100.0	489/489	contig00001	126438..126926	489	489
AVC207	fimH35	100.0	489/489	contig00003	311902..312390	489	489
AVC79	fimH97	100.0	489/489	contig00002	88708..89196	489	489
FH201	fimH153	100.0	489/489	contig00001	313492..313980	489	489
FH175	fimH23	100.0	489/489	contig00050	21693..22181	489	489
