Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
AVC191	-	O111	H4	O111:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O111-12-wzx;O111-24-wzy;H4-2-fliC-origin;	100;100;100;	100;100;100;	contig00051;contig00051;contig00029;	9439-10704;10694-11746;14405-15454;	1266;1053;1050;	v1.0 (11-03-2020)	-
FH138	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00002;contig00002;contig00006;	349264-350526;352238-353200;76804-78114;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH171	-	O71	H4	O71:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O71-1-wzx-origin;O71-2-wzy-origin;H4-2-fliC-origin;	99.922;100;100;	100;100;100;	contig00018;contig00018;contig00028;	45973-47247;48652-49941;32654-33703;	1275;1290;1050;	v1.0 (11-03-2020)	-
FH88	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00021;contig00021;contig00008;	45417-46679;48391-49353;80360-81670;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH212	-	O176	H32	O176:H32	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O176-1-wzx-origin;O176-2-wzy-origin;H32-1-fliC-origin;	100;99.775;99.942;	100;100;100;	contig00069;contig00069;contig00002;	3382-4620;4617-5948;39356-41068;	1239;1332;1713;	v1.0 (11-03-2020)	-
FH97	-	O2	H5	O2:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-7-wzx;O2-16-wzy;H5-2-fliC-origin;	100;100;100;	100;100;100;	contig00002;contig00002;contig00005;	349232-350494;352206-353168;80498-81808;	1263;963;1311;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
FH19	-	O149	H10	O149:H10	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O149-1-wzx-origin;O149-2-wzy-origin;H10-8-fliC;	100;100;100;	100;100;100;	contig00001;contig00001;contig00010;	590585-591769;592620-593684;42567-43828;	1185;1065;1262;	v1.0 (11-03-2020)	-
AVC219	-	O182	H25	O182:H25	-	Based on 3 allele(s)	wzx:0.994;wzy:0.993;fliC:1;	O182-1-wzx-origin;O182-2-wzy-origin;H25-11-fliC;	99.405;99.267;100;	100;100;100;	contig00020;contig00020;contig00001;	31052-32395;27550-28776;6968-8287;	1344;1227;1320;	v1.0 (11-03-2020)	-
AVC237	-	O100	H32	O100:H32	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O100-1-wzx-origin;O100-2-wzy-origin;H32-1-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00002;	33408-34649;31025-32194;368219-369931;	1242;1170;1713;	v1.0 (11-03-2020)	-
AVC7	-	-	H2	-:H2	-	Based on 1 allele(s)	fliC:1;	H2-2-fliC-origin;	100;	100;	contig00002;	292764-294257;	1494;	v1.0 (11-03-2020)	-
