Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_JA5731AA	AVC10	SRR7469881;ILLUMINA;Paired;;SRX4339629	Poultry	Poultry	Meleagris gallopavo	2007	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579961	SRS3500531	2018-07-04	2018-07-04	ESC_JA5731AA	O2	H1	429	ND	B2	ND	Assembled	54	269815	5197898	Escherichia coli / Shigella;95.94%	82	27977	4	ESC_SA8260AA_AS	76638	70285	70285	70281	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5718AA	AVC103	SRR7469868;ILLUMINA;Paired;;SRX4339642	Poultry	Poultry	Gallus gallus domesticus	2009	2			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H7			APEC			PRJNA479542	SRP151965		SAMN09579990	SRS3500543	2018-07-04	2018-07-04	ESC_JA5718AA	O153	H7	95	ST95 Cplx	B2	ND	Assembled	49	176526	5369129	Escherichia coli / Shigella;96.4%	152	50554	4	ESC_SA8273AA_AS	76628	70276	70276	70276	70276	70276	70276	1106	1104	1104	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	30657	Escherichia/Shigella sp.
ESC_JA5715AA	AVC105	SRR7469865;ILLUMINA;Paired;;SRX4339645	Poultry	Poultry	Gallus gallus domesticus	2009	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O11:H15			APEC			PRJNA479542	SRP151965		SAMN09579991	SRS3500545	2018-07-04	2018-07-04	ESC_JA5715AA	O11 or OX19	H15	973	ND	ND	ND	Assembled	85	187108	5176629	Escherichia coli / Shigella;94.04%	100	21446	4	ESC_SA8276AA_AS	75637	69257	69257	69257	69257	69257	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5716AA	AVC106	SRR7469866;ILLUMINA;Paired;;SRX4339644	Poultry	Poultry	Gallus gallus domesticus	2009	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O17/O44/O77:H1			APEC			PRJNA479542	SRP151965		SAMN09579992	SRS3500541	2018-07-04	2018-07-04	ESC_JA5716AA	O17 or O77	H1	8398	ND	ND	ND	Assembled	87	211838	5371562	Escherichia coli / Shigella;98.32%	180	29589	4	ESC_SA8275AA_AS	76627	70277	70277	70277	70277	70277	70277	70277	8999	5735	1124	1124	32	2	1	D	F	fimH127	-	-	-	-	-	-	-	-	29651	Escherichia/Shigella sp.
ESC_JA5714AA	AVC109	SRR7469864;ILLUMINA;Paired;;SRX4339646	Poultry	Poultry	Meleagris gallopavo	2009	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H18			APEC			PRJNA479542	SRP151965		SAMN09579994	SRS3500544	2018-07-04	2018-07-04	ESC_JA5714AA	-	H18	1303	ST10 Cplx	A	ND	Assembled	63	111400	4821728	Escherichia coli / Shigella;89.49%	169	91683	4	ESC_SA8277AA_AS	76626	70284	70284	70284	70284	70284	70284	70284	70284	70284	3616	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	85285	Escherichia/Shigella sp.
ESC_JA5732AA	AVC11	SRR7469882;ILLUMINA;Paired;;SRX4339628	Poultry	Poultry	Meleagris gallopavo	2007	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579962	SRS3500527	2018-07-04	2018-07-04	ESC_JA5732AA	O2	H1	429	ND	B2	ND	Assembled	52	200792	5198163	Escherichia coli / Shigella;93.97%	100	41462	4	ESC_SA8259AA_AS	75640	69260	69260	69260	69260	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5711AA	AVC111	SRR7469861;ILLUMINA;Paired;;SRX4339649	Poultry	Poultry	Gallus gallus domesticus	2009	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H34			APEC			PRJNA479542	SRP151965		SAMN09579995	SRS3500548	2018-07-04	2018-07-04	ESC_JA5711AA	O153	H34	354	ST354 Cplx	ND	ND	Assembled	42	190746	5367738	Escherichia coli / Shigella;94.68%	115	56851	4	ESC_SA8280AA_AS	76625	70275	70275	70275	70275	70275	70275	70275	70275	163	163	163	163	2	1	F	F	fimH1005	-	-	-	-	-	-	-	-	2140	Escherichia coli
ESC_JA5712AA	AVC113	SRR7469862;ILLUMINA;Paired;;SRX4339648	Poultry	Poultry	Gallus gallus domesticus	2009	3			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H21			APEC			PRJNA479542	SRP151965		SAMN09579996	SRS3500547	2018-07-04	2018-07-04	ESC_JA5712AA	-	H21	155	ST155 Cplx	B1	ND	Assembled	53	185597	4957420	Escherichia coli / Shigella;96.3%	152	21518	4	ESC_SA8279AA_AS	76238	68974	68974	68974	68974	68974	68974	68974	68974	68974	106	106	5	2	1	B1	B1	fimH121	-	-	-	-	-	-	-	-	85284	Escherichia/Shigella sp.
ESC_JA5733AA	AVC12	SRR7469883;ILLUMINA;Paired;;SRX4339627	Poultry	Poultry	Gallus gallus domesticus	2007	11			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09579963	SRS3500525	2018-07-04	2018-07-04	ESC_JA5733AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	25	93300	5490857	Escherichia coli / Shigella;96.25%	234	42819	4	ESC_SA8258AA_AS	76653	70291	70291	70291	70291	70291	70291	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85390	Escherichia/Shigella sp.
ESC_JA5726AA	AVC123	SRR7469876;ILLUMINA;Paired;;SRX4339634	Poultry	Poultry	missing	2009	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O132:H21			APEC			PRJNA479542	SRP151965		SAMN09579997	SRS3500533	2018-07-04	2018-07-04	ESC_JA5726AA	O132	H21	10	ST10 Cplx	A	ND	Assembled	45	130764	5233730	Escherichia coli / Shigella;94.19%	128	51152	4	ESC_SA8265AA_AS	75639	69259	69259	69259	69259	69259	69259	69259	69259	4445	605	13	5	2	1	A	A	fimH54	-	-	-	-	-	-	-	-	1687	Escherichia coli
ESC_JA5725AA	AVC126	SRR7469875;ILLUMINA;Paired;;SRX4339635	Poultry	Poultry	Gallus gallus domesticus	2009	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09579998	SRS3500535	2018-07-04	2018-07-04	ESC_JA5725AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	25	152511	5445453	Escherichia coli / Shigella;96.68%	143	32375	4	ESC_SA8266AA_AS	76634	70270	70270	70270	70270	69240	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85280	Escherichia/Shigella sp.
ESC_JA5724AA	AVC148	SRR7469874;ILLUMINA;Paired;;SRX4339636	Poultry	Poultry	missing	2009	12			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09579999	SRS3500534	2018-07-04	2018-07-04	ESC_JA5724AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	44	130539	5478256	Escherichia coli / Shigella;97.77%	176	28213	4	ESC_SA8267AA_AS	76633	69264	69264	69240	69240	69240	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85280	Escherichia/Shigella sp.
ESC_JA5723AA	AVC149	SRR7469873;ILLUMINA;Paired;;SRX4339637	Poultry	Poultry	missing	2009	12			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O45:H19			APEC			PRJNA479542	SRP151965		SAMN09580000	SRS3500537	2018-07-04	2018-07-04	ESC_JA5723AA	O45	H19	350	ST350 Cplx	ND	ND	Assembled	82	130814	5482600	Escherichia coli / Shigella;96.23%	185	23644	4	ESC_SA8268AA_AS	76632	69264	69264	69240	69240	69240	68964	68961	68961	68961	30323	175	175	2	1	E	E	fimH142	-	-	-	-	-	-	-	-	85280	Escherichia/Shigella sp.
ESC_JA5730AA	AVC153	SRR7469880;ILLUMINA;Paired;;SRX4339630	Poultry	Poultry	Gallus gallus domesticus	2010	5			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O21:H38			APEC			PRJNA479542	SRP151965		SAMN09580001	SRS3500528	2018-07-04	2018-07-04	ESC_JA5730AA	O21	H38	93	ST168 Cplx	A	ND	Assembled	56	153062	4921302	Escherichia coli / Shigella;96.0%	99	106977	4	ESC_SA8261AA_AS	76639	70278	70278	70278	70278	70278	70278	70278	70278	70278	70278	13	5	2	1	A	A	fimH41	-	-	-	-	-	-	-	-	2046	Escherichia coli
ESC_JA5729AA	AVC154	SRR7469879;ILLUMINA;Paired;;SRX4339631	Poultry	Poultry	Gallus gallus domesticus	2010	5			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09580002	SRS3500529	2018-07-04	2018-07-04	ESC_JA5729AA	O78	H4	117	ND	ABD	ND	Assembled	57	131865	5491186	Escherichia coli / Shigella;97.14%	134	203394	4	ESC_SA8262AA_AS	76637	70274	70274	70274	70274	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5728AA	AVC155	SRR7469878;ILLUMINA;Paired;;SRX4339632	Poultry	Poultry	Gallus gallus domesticus	2010	6			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09580003	SRS3500530	2018-07-04	2018-07-04	ESC_JA5728AA	O111	H4	117	ND	ABD	ND	Assembled	51	140813	5174360	Escherichia coli / Shigella;97.57%	149	65324	4	ESC_SA8263AA_AS	76636	70273	70273	70273	70273	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5727AA	AVC156	SRR7469877;ILLUMINA;Paired;;SRX4339633	Poultry	Poultry	missing	2010	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O15:H1			APEC			PRJNA479542	SRP151965		SAMN09580004	SRS3500532	2018-07-04	2018-07-04	ESC_JA5727AA	O15	H1	362	ND	D	ND	Assembled	50	132570	5353481	Escherichia coli / Shigella;96.78%	153	51112	4	ESC_SA8264AA_AS	76635	70272	70272	70272	70272	70272	69235	29997	14298	2200	2200	2200	2200	2	1	D	D	fimH96	-	-	-	-	-	-	-	-	85290	Escherichia/Shigella sp.
ESC_JA5722AA	AVC159	SRR7469872;ILLUMINA;Paired;;SRX4339638	Poultry	Poultry	missing	2010	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O36:H4			APEC			PRJNA479542	SRP151965		SAMN09580005	SRS3500536	2018-07-04	2018-07-04	ESC_JA5722AA	O36	H4	117	ND	ABD	ND	Assembled	57	125559	5281640	Escherichia coli / Shigella;93.9%	165	47239	4	ESC_SA8269AA_AS	76631	70269	70269	70269	70269	70269	70269	70269	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5721AA	AVC160	SRR7469871;ILLUMINA;Paired;;SRX4339639	Poultry	Poultry	missing	2010	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O8:H4			APEC			PRJNA479542	SRP151965		SAMN09580006	SRS3500539	2018-07-04	2018-07-04	ESC_JA5721AA	-	H4	117	ND	ABD	ND	Assembled	54	132946	5137845	Escherichia coli / Shigella;95.31%	136	46373	4	ESC_SA8270AA_AS	76630	70283	70283	70283	70283	70283	70283	70283	50779	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	3485	Escherichia coli
