snp-dists 0.6.3,FH181,FH106,FH186,FH162,FH199,FH25,FH116,FH20,FH171,FH174,FH154,FH183,FH184,FH151,FH178,FH159,FH195,FH204,FH185,FH191,FH163,FH68,FH24,FH115,FH5,FH179,FH158,FH23,FH114,FH152,FH157,FH172,FH54,FH205,FH155,FH4,FH196,FH72,FH27,FH8,FH160,FH53,FH182,FH87,FH203,FH189,FH198,FH26,FH180,FH70,FH55,FH7,FH190,FH117,FH19,FH161,FH192,FH197,FH56,FH71,FH156,FH69
FH181,0,5550,153,4211,2189,2596,2707,2782,4218,4208,4359,143,14,4403,3561,3548,2320,2187,2,3407,4387,2952,2597,2753,6223,149,3567,2597,2856,4212,3412,4383,3081,2323,4275,6379,2187,2901,2124,6321,3451,3082,1,4062,2332,3548,2611,2738,145,2911,3092,6223,3451,2850,2740,4488,3461,2319,3461,3206,4362,2969
FH106,5550,0,5417,4472,5404,6313,5110,6207,4479,4471,4336,5407,5540,4380,4628,4615,5404,5402,5550,4758,4339,5444,6314,5113,6655,5409,4634,6314,4973,4473,4763,4335,5437,5405,4491,6509,5402,5436,5630,6510,4759,5436,5549,4477,5261,4615,5695,6171,5407,5444,5436,6655,4759,4969,6171,4706,4769,5403,5817,5160,4623,5461
FH186,153,5417,0,4362,2338,2747,2858,2649,4369,4359,4226,10,165,4270,3428,3415,2338,2338,153,3558,4254,3060,2748,2859,6331,16,3434,2748,2721,4363,3563,4250,2948,2343,4383,6487,2338,3052,2275,6188,3559,2949,152,4213,2197,3415,2631,2605,12,3062,2959,6331,3559,2715,2607,4596,3569,2339,3328,3073,4513,3077
FH162,4211,4472,4362,0,4392,5078,3625,5264,17,9,148,4352,4223,202,3516,3503,4523,4390,4211,3362,186,5147,5079,3671,4822,4356,3522,5079,3774,11,3367,182,4364,4526,64,4693,4390,5096,4688,4920,3406,4365,4210,1922,4535,3503,4814,5220,4352,5106,4375,4822,3406,3768,5222,287,3416,4522,4744,5116,161,5164
FH199,2189,5404,2338,4392,0,2508,2784,2694,4399,4391,4538,2330,2201,4582,2888,2877,133,4,2189,2734,4564,1960,2507,2828,6096,2334,2894,2507,2929,4391,2739,4562,3321,138,4456,6252,2,1911,1588,6194,2778,3322,2188,4030,145,2877,428,2650,2330,1919,3332,6096,2780,2925,2650,4665,2788,134,3703,2214,4541,1977
FH25,2596,6313,2747,5078,2508,0,3672,194,5085,5077,5226,2737,2608,5270,4043,4030,2639,2506,2596,3889,5254,3340,1,3718,7061,2741,4049,1,3821,5079,3894,5250,4130,2642,5142,7217,2506,3289,2178,7159,3933,4131,2595,4853,2651,4030,2930,142,2737,3299,4141,7061,3933,3815,144,5352,3943,2638,4510,3594,5229,3357
FH116,2707,5110,2858,3625,2784,3672,0,3858,3632,3624,3773,2848,2719,3816,4228,4215,2915,2782,2707,4074,3801,3658,3673,46,5453,2852,4234,3673,149,3626,4079,3797,1755,2918,3689,5609,2782,3607,2983,5551,4118,1756,2706,3561,2927,4215,3206,3814,2848,3617,1766,5453,4118,143,3816,3900,4128,2914,2135,3912,3776,3675
FH20,2782,6207,2649,5264,2694,194,3858,0,5271,5263,5128,2639,2794,5098,3945,3932,2694,2692,2782,4075,5156,3483,195,3861,7204,2639,3951,195,3723,5265,4080,5152,4032,2693,5285,7360,2692,3475,2366,7061,4076,4033,2781,5039,2553,3932,2985,52,2639,3485,4029,7204,4076,3717,54,5491,4086,2693,4412,3496,5415,3500
FH171,4218,4479,4369,17,4399,5085,3632,5271,0,12,165,4359,4230,207,3505,3510,4530,4397,4218,3369,175,5154,5086,3678,4829,4363,3511,5086,3781,16,3374,189,4371,4533,81,4700,4397,5103,4695,4927,3413,4372,4217,1929,4542,3510,4821,5227,4359,5095,4382,4829,3413,3775,5229,304,3405,4529,4751,5105,164,5171
FH174,4208,4471,4359,9,4391,5077,3624,5263,12,0,157,4349,4220,199,3515,3502,4522,4389,4208,3361,185,5146,5078,3670,4819,4353,3521,5078,3773,8,3366,181,4361,4525,73,4690,4389,5095,4687,4917,3405,4362,4207,1919,4534,3502,4813,5219,4349,5105,4372,4819,3405,3767,5221,296,3415,4521,4741,5115,156,5163
FH154,4359,4336,4226,148,4538,5226,3773,5128,165,157,0,4216,4371,64,3378,3367,4538,4538,4359,3508,48,5250,5225,3776,4927,4220,3384,5225,3636,157,3513,44,4226,4541,169,4798,4536,5244,4834,4784,3509,4227,4358,2068,4397,3367,4831,5084,4216,5252,4237,4927,3511,3632,5084,390,3519,4537,4608,4978,307,5267
FH183,143,5407,10,4352,2330,2737,2848,2639,4359,4349,4216,0,155,4260,3418,3405,2330,2328,143,3548,4244,3050,2738,2851,6321,6,3424,2738,2713,4353,3553,4240,2938,2333,4373,6477,2328,3042,2265,6178,3549,2939,142,4203,2189,3405,2621,2595,2,3052,2949,6321,3549,2707,2597,4586,3559,2329,3318,3063,4503,3067
FH184,14,5540,165,4223,2201,2608,2719,2794,4230,4220,4371,155,0,4415,3573,3560,2332,2199,14,3419,4399,2942,2609,2765,6235,161,3579,2609,2868,4224,3424,4395,3093,2335,4287,6391,2199,2891,2136,6333,3463,3094,13,4074,2344,3560,2623,2750,157,2901,3104,6235,3463,2862,2752,4500,3473,2331,3473,3196,4374,2959
FH151,4403,4380,4270,202,4582,5270,3816,5098,207,199,64,4260,4415,0,3422,3411,4582,4582,4403,3552,90,5294,5269,3819,4971,4262,3428,5269,3679,197,3557,86,4269,4585,223,4842,4580,5288,4878,4828,3553,4270,4402,2112,4441,3411,4875,5128,4260,5296,4280,4971,3555,3675,5128,444,3563,4581,4651,5022,349,5311
FH178,3561,4628,3428,3516,2888,4043,4228,3945,3505,3515,3378,3418,3573,3422,0,13,2888,2888,3561,154,3386,3346,4042,4231,5473,3422,12,4042,4091,3515,159,3400,4446,2889,3535,5627,2886,3340,3347,5328,157,4445,3560,3028,2747,13,3181,3901,3418,3330,4455,5473,157,4087,3901,3746,147,2887,4828,3341,3665,3363
FH159,3548,4615,3415,3503,2877,4030,4215,3932,3510,3502,3367,3405,3560,3411,13,0,2877,2875,3548,143,3393,3335,4031,4218,5460,3409,19,4031,4080,3504,148,3389,4435,2878,3522,5614,2875,3327,3336,5315,146,4434,3547,3017,2736,0,3168,3888,3405,3337,4444,5460,144,4074,3890,3735,154,2876,4815,3348,3654,3352
FH195,2320,5404,2338,4523,133,2639,2915,2694,4530,4522,4538,2330,2332,4582,2888,2877,0,135,2320,2865,4566,2051,2638,2919,6187,2334,2894,2638,2929,4522,2870,4562,3321,5,4547,6343,133,2042,1719,6194,2869,3322,2319,4161,145,2877,295,2650,2330,2050,3332,6187,2871,2925,2650,4756,2879,1,3703,2214,4672,2068
FH204,2187,5402,2338,4390,4,2506,2782,2692,4397,4389,4538,2328,2199,4582,2888,2875,135,0,2187,2734,4566,1960,2507,2828,6094,2332,2894,2507,2931,4391,2739,4562,3321,136,4454,6250,2,1909,1588,6192,2778,3322,2186,4030,147,2875,426,2648,2328,1919,3332,6094,2778,2925,2650,4665,2788,134,3701,2214,4541,1977
FH185,2,5550,153,4211,2189,2596,2707,2782,4218,4208,4359,143,14,4403,3561,3548,2320,2187,0,3407,4387,2952,2597,2753,6223,149,3567,2597,2856,4212,3412,4383,3081,2323,4275,6379,2187,2901,2124,6321,3451,3082,1,4062,2332,3548,2611,2738,145,2911,3092,6223,3451,2850,2740,4488,3461,2319,3461,3206,4362,2969
FH191,3407,4758,3558,3362,2734,3889,4074,4075,3369,3361,3508,3548,3419,3552,154,143,2865,2734,3407,0,3534,3235,3888,4120,5362,3552,160,3888,4221,3361,5,3530,4576,2866,3424,5516,2732,3186,3193,5458,46,4575,3406,2874,2877,143,3158,4031,3548,3194,4585,5362,46,4217,4031,3635,54,2864,4958,3489,3511,3252
