Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
AVC10	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC103	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	0.00
AVC105	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC106	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1168	4	0	0	0	99.97	0.41	0.00
AVC107	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1164	7	1	0	0	99.97	0.26	0.00
AVC109	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.19	0.00
AVC11	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC111	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1201	4	0	0	0	99.93	0.23	0.00
AVC113	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1202	3	0	0	0	99.93	0.18	0.00
AVC12	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC123	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.54	16.67
AVC126	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC148	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC153	f__Enterobacteriaceae (UID5124)	134	1173	336	0	1170	3	0	0	0	100.00	0.17	0.00
AVC154	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.12	0.00
AVC155	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.75	0.00
AVC156	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1199	6	0	0	0	99.93	0.31	0.00
AVC159	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.08	0.00
AVC160	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1045	126	1	0	0	99.97	9.00	98.45
AVC161	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1201	4	0	0	0	99.93	0.19	0.00
AVC167	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1168	2	0	0	0	99.77	0.19	0.00
AVC171	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	0.00
AVC173	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	0.00
AVC176	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.09	0.00
AVC177	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1196	9	0	0	0	99.93	0.56	0.00
AVC179	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1199	6	0	0	0	99.93	0.31	0.00
AVC183	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.33	0.00
AVC184	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.75	0.00
AVC186	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC19	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC191	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.78	16.67
AVC195	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC196	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC197	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC198	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC20	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC200	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC201	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1200	5	0	0	0	99.93	0.24	0.00
AVC204	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1166	4	0	0	0	99.77	0.78	0.00
AVC207	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.33	0.00
AVC209	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.17	0.00
AVC21	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC210	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.17	0.00
AVC211	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC213	f__Enterobacteriaceae (UID5162)	88	1207	328	3	1199	5	0	0	0	99.62	0.28	0.00
AVC215	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.22	0.00
AVC216	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC218	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC219	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.17	0.00
AVC220	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1168	2	2	0	0	99.97	0.75	12.50
AVC221	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC222	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.75	0.00
AVC223	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.17	0.00
AVC224	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1169	1	0	0	0	99.77	0.04	0.00
AVC226	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.14	0.00
AVC227	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.39	0.00
AVC228	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.17	33.33
AVC232	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC233	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC234	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.17	0.00
AVC235	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.19	0.00
AVC237	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC242	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.39	0.00
AVC246	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC249	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC25	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC251	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC252	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1201	4	0	0	0	99.93	0.23	25.00
AVC256	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.39	0.00
AVC26	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC29	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.11	50.00
AVC30	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC34	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.31	20.00
AVC35	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.31	20.00
AVC38	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.39	0.00
AVC39	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC4	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.07	0.00
AVC5	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.75	0.00
AVC51	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC58	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.07	0.00
AVC59	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.07	0.00
AVC60	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1164	8	0	0	0	99.97	1.13	12.50
AVC61	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC64	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
AVC65	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC7	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1202	3	0	0	0	99.93	0.16	0.00
AVC77	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1163	9	0	0	0	99.97	1.17	11.11
AVC79	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1168	2	0	0	0	99.67	0.07	0.00
AVC8	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC80	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.12	0.00
AVC91	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
AVC94	f__Enterobacteriaceae (UID5162)	88	1207	328	2	1199	6	0	0	0	99.93	0.58	0.00
AVC96	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1163	9	0	0	0	99.97	0.88	11.11
AVC97	f__Enterobacteriaceae (UID5124)	134	1173	336	7	1161	5	0	0	0	99.43	0.39	0.00
AVC98	f__Enterobacteriaceae (UID5124)	134	1173	336	0	1167	3	3	0	0	100.00	0.62	66.67
FH1	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1169	2	0	0	0	99.67	0.07	0.00
FH10	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1167	4	0	0	0	99.94	0.19	0.00
FH100	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	33.33
FH101	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1168	4	0	0	0	99.97	0.31	50.00
FH102	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.48	33.33
FH103	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	33.33
FH104	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	33.33
FH105	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.25	33.33
FH106	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.29	0.00
