snp-dists 0.6.3,FH45,FH49,FH208,FH34,FH207,FH43,FH50,FH52,FH206,FH214,FH211,FH51,FH209,FH41,FH42,FH46,FH31,FH212,FH213,FH44,FH47,FH32,FH35
FH45,0,174,12887,12966,12884,0,170,12961,12884,12884,12884,18734,12887,22,165,166,12980,9866,9870,27,16,13009,12982
FH49,174,0,13017,13096,13014,174,14,13093,13014,13014,13014,18866,13017,164,9,144,13110,10004,10008,169,158,13141,13112
FH208,12887,13017,0,1834,3,12887,13025,2420,3,3,3,8746,6,12875,13020,13021,1848,10444,10453,12882,12871,2424,1850
FH34,12966,13096,1834,0,1831,12966,13104,2296,1831,1831,1831,8622,1834,12954,13099,13100,50,10340,10349,12961,12950,2290,52
FH207,12884,13014,3,1831,0,12884,13022,2417,0,0,0,8743,3,12872,13017,13018,1845,10445,10454,12879,12868,2421,1847
FH43,0,174,12887,12966,12884,0,170,12961,12884,12884,12884,18734,12887,22,165,166,12980,9866,9870,27,16,13009,12982
FH50,170,14,13025,13104,13022,170,0,13099,13022,13022,13022,18872,13025,160,5,140,13118,9994,9998,155,154,13147,13120
FH52,12961,13093,2420,2296,2417,12961,13099,0,2417,2417,2417,6326,2420,12949,13094,13095,2310,10324,10333,12956,12945,390,2312
FH206,12884,13014,3,1831,0,12884,13022,2417,0,0,0,8743,3,12872,13017,13018,1845,10445,10454,12879,12868,2421,1847
FH214,12884,13014,3,1831,0,12884,13022,2417,0,0,0,8743,3,12872,13017,13018,1845,10445,10454,12879,12868,2421,1847
FH211,12884,13014,3,1831,0,12884,13022,2417,0,0,0,8743,3,12872,13017,13018,1845,10445,10454,12879,12868,2421,1847
FH51,18734,18866,8746,8622,8743,18734,18872,6326,8743,8743,8743,0,8745,18722,18867,18868,8636,16617,16626,18729,18718,6716,8638
FH209,12887,13017,6,1834,3,12887,13025,2420,3,3,3,8745,0,12875,13020,13021,1848,10448,10457,12882,12871,2424,1850
FH41,22,164,12875,12954,12872,22,160,12949,12872,12872,12872,18722,12875,0,155,156,12968,9854,9858,17,6,12997,12970
FH42,165,9,13020,13099,13017,165,5,13094,13017,13017,13017,18867,13020,155,0,135,13113,9999,10003,160,149,13142,13115
FH46,166,144,13021,13100,13018,166,140,13095,13018,13018,13018,18868,13021,156,135,0,13114,10000,10004,161,150,13143,13116
FH31,12980,13110,1848,50,1845,12980,13118,2310,1845,1845,1845,8636,1848,12968,13113,13114,0,10352,10361,12975,12964,2304,2
FH212,9866,10004,10444,10340,10445,9866,9994,10324,10445,10445,10445,16617,10448,9854,9999,10000,10352,0,55,9841,9850,10340,10354
FH213,9870,10008,10453,10349,10454,9870,9998,10333,10454,10454,10454,16626,10457,9858,10003,10004,10361,55,0,9845,9854,10349,10363
FH44,27,169,12882,12961,12879,27,155,12956,12879,12879,12879,18729,12882,17,160,161,12975,9841,9845,0,11,13004,12977
FH47,16,158,12871,12950,12868,16,154,12945,12868,12868,12868,18718,12871,6,149,150,12964,9850,9854,11,0,12993,12966
FH32,13009,13141,2424,2290,2421,13009,13147,390,2421,2421,2421,6716,2424,12997,13142,13143,2304,10340,10349,13004,12993,0,2306
FH35,12982,13112,1850,52,1847,12982,13120,2312,1847,1847,1847,8638,1850,12970,13115,13116,2,10354,10363,12977,12966,2306,0
