Sample 1	Sample 2	Matches	Mismatches	Jaccard Index	Mash-like distance	SNPs	SNP distance
AVC191	FH138	2766693	4841804	0.363632	0.020278	28300	0.0102288
AVC191	FH171	3779971	1789703	0.67867	0.00685403	1731	0.00045794
AVC191	FH88	2589815	4768593	0.351953	0.0210536	26377	0.0101849
AVC191	FH212	2385375	5419621	0.305622	0.0244819	30471	0.0127741
AVC191	FH97	2413710	4810261	0.334125	0.0223022	24105	0.0099867
AVC191	FH19	3836387	1778171	0.683293	0.00672376	2744	0.000715256
AVC191	AVC219	2575110	5432705	0.321575	0.0232323	31734	0.0123234
AVC191	AVC237	2273896	5156837	0.306012	0.0244504	30473	0.0134012
AVC191	AVC7	2404629	5276960	0.313038	0.0238912	32186	0.013385
AVC191	FH22	2499490	5149072	0.326792	0.0228403	28493	0.0113995
AVC191	FH144	2321384	5010232	0.316627	0.0236115	24652	0.0106195
AVC191	AVC64	2423374	5367362	0.311058	0.0240472	31382	0.0129497
AVC191	FH25	4387654	1327236	0.767758	0.0045434	3159	0.000719975
AVC191	FH92	2744064	4784648	0.36448	0.0202229	28303	0.0103143
AVC191	FH37	2465479	4828096	0.338034	0.0220214	24706	0.0100208
AVC191	FH69	3285862	2342308	0.583824	0.00983388	2125	0.00064671
AVC191	AVC38	2702123	4787046	0.360804	0.0204629	28578	0.0105761
AVC191	FH52	2612825	5405334	0.325863	0.0229095	31985	0.0122415
AVC191	AVC201	2266079	5226216	0.302455	0.0247396	30024	0.0132493
AVC191	FH104	2764924	4825891	0.364246	0.0202381	28330	0.0102462
AVC191	FH180	4386136	1360751	0.763219	0.00465174	2894	0.000659806
AVC191	FH61	2378132	4968566	0.323701	0.0230716	24382	0.0102526
AVC191	FH142	2575610	5035168	0.338416	0.0219942	27863	0.010818
AVC191	AVC5	4513438	693188	0.866864	0.00238664	24	5.31745e-06
AVC191	FH58	2235945	5963926	0.272681	0.0273365	31136	0.0139252
AVC191	AVC98	2403619	5342179	0.310313	0.0241062	30352	0.0126276
AVC191	AVC235	2759030	4828326	0.363635	0.0202778	28244	0.0102369
AVC191	AVC20	2539792	5225638	0.327064	0.02282	28462	0.0112064
AVC191	AVC256	2799928	4708315	0.372914	0.0196837	28343	0.0101228
AVC191	AVC97	2661766	4780417	0.357659	0.0206706	27694	0.0104044
