name	BRACKEN.species_best_match	BRACKEN.fraction_total_reads	BRACKEN.species_second_best_match	BRACKEN.fraction_total_reads_second_best_match	GUNC.n_genes_called	GUNC.n_genes_mapped	GUNC.reference_representation_score	GUNC.pass	CHECKM.Completeness	CHECKM.Contamination	CHECKM.Strain heterogeneity	ASSEMBLY_STATS.total_length	ASSEMBLY_STATS.number	ASSEMBLY_STATS.N50
AVC191	Escherichia coli	0.9089	Escherichia marmotae	0.04608	5178	5078	0.87	True	99.97	0.78	16.67	5274147	278	130113
FH138	Escherichia coli	0.9833	Salmonella enterica	0.00545	5241	5142	0.88	False	99.97	0.12	33.33	5366886	188	185333
FH171	Escherichia coli	0.98266	Salmonella enterica	0.00855	4867	4771	0.86	True	99.97	0.1	0.0	5075748	212	124771
FH88	Escherichia coli	0.98326	Klebsiella pneumoniae	0.00469	5049	4970	0.88	True	99.97	0.04	0.0	5241228	135	226645
FH212	Escherichia coli	0.96714	Salmonella enterica	0.01425	5153	5071	0.86	True	99.97	0.16	33.33	5342722	212	109340
FH97	Escherichia coli	0.98362	Salmonella enterica	0.0042	5173	5086	0.87	True	99.97	0.19	0.0	5334940	184	226847
FH19	Escherichia coli	0.98117	Salmonella enterica	0.00708	4858	4798	0.9	True	99.97	0.17	0.0	5069917	181	149241
AVC219	Escherichia coli	0.97675	Shigella flexneri	0.00497	5385	5277	0.87	True	99.97	0.17	0.0	5567964	294	122842
AVC237	Escherichia coli	0.9319	Klebsiella pneumoniae	0.01676	4406	4374	0.92	True	99.97	0.04	0.0	4702114	87	210782
AVC7	Escherichia coli	0.94866	Shigella sonnei	0.01477	4845	4775	0.88	True	99.93	0.16	0.0	5074066	130	190943
FH22	Escherichia coli	0.96704	Escherichia sp. SCLE84	0.01454	4759	4709	0.89	True	99.97	0.04	0.0	5109546	112	182378
FH144	Escherichia coli	0.9846	Shigella sonnei	0.00353	4843	4777	0.9	True	99.97	0.57	25.0	5161866	141	186141
AVC64	Escherichia coli	0.97756	Shigella sonnei	0.00715	4905	4862	0.9	True	99.97	0.09	0.0	5236699	163	141429
FH25	Escherichia coli	0.98772	Salmonella enterica	0.00352	4828	4777	0.91	True	99.97	0.17	0.0	5080276	127	283859
FH92	Escherichia coli	0.98356	Salmonella enterica	0.00529	5037	4961	0.88	True	99.97	0.1	50.0	5243141	103	259890
FH37	Escherichia coli	0.97907	Salmonella enterica	0.00729	5185	5099	0.87	True	99.97	0.19	0.0	5342478	191	186048
FH69	Escherichia coli	0.96937	Salmonella enterica	0.0254	5085	4985	0.84	True	99.97	0.79	45.45	5284848	222	103787
AVC38	Escherichia coli	0.9829	Salmonella enterica	0.00333	4980	4925	0.88	True	99.97	0.39	0.0	5176332	156	175927
FH52	Escherichia coli	0.66036	Salmonella enterica	0.33394	5394	5270	0.84	True	99.97	0.17	0.0	5644817	220	105276
AVC201	Escherichia coli	0.68768	Salmonella enterica	0.28934	4779	4721	0.9	False	99.93	0.24	0.0	4982610	240	73373
FH104	Escherichia coli	0.95856	Salmonella enterica	0.03151	5204	5124	0.87	True	99.97	0.25	33.33	5355718	168	241713
FH180	Escherichia coli	0.98642	Salmonella enterica	0.00362	4861	4791	0.87	True	99.97	0.04	0.0	5115474	148	217398
FH61	Escherichia coli	0.98481	Salmonella enterica	0.00399	4974	4868	0.88	True	99.97	0.76	36.36	5231012	212	147486
FH142	Escherichia coli	0.98725	Shigella sonnei	0.00289	4851	4781	0.9	True	99.97	0.57	25.0	5175571	132	295065
AVC5	Escherichia coli	0.97123	Salmonella enterica	0.01027	5064	4997	0.89	True	99.97	0.75	0.0	5175671	274	129768
FH58	Escherichia coli	0.92536	Salmonella enterica	0.02171	5586	5407	0.78	False	99.67	0.73	20.0	5482568	367	81346
AVC98	Escherichia coli	0.64306	Salmonella enterica	0.35134	4920	4849	0.89	True	100.0	0.62	66.67	5244800	186	96910
AVC235	Escherichia coli	0.96049	Salmonella enterica	0.02802	5161	5075	0.87	True	99.97	0.19	0.0	5328089	180	177958
AVC20	Escherichia coli	0.98163	Salmonella enterica	0.00801	5073	4975	0.9	False	99.97	0.04	0.0	5290021	130	297500
AVC256	Escherichia coli	0.98422	Salmonella enterica	0.00386	5177	5086	0.87	True	99.97	0.39	0.0	5315466	201	87581
AVC97	Escherichia coli	0.98361	Shigella flexneri	0.00543	4904	4846	0.89	True	99.43	0.39	0.0	5077116	178	179253
FH83	Escherichia coli	0.9468	Salmonella enterica	0.01255	4908	4852	0.89	True	99.97	0.13	33.33	5070247	142	139038
FH132	Escherichia coli	0.97272	Salmonella enterica	0.00815	4794	4735	0.91	True	99.97	0.39	0.0	5026947	127	237098
FH203	Escherichia coli	0.94981	Salmonella enterica	0.04385	4956	4871	0.87	True	99.97	0.52	28.57	5191203	156	163729
AVC123	Escherichia coli	0.70235	Shigella sonnei	0.19518	5127	5044	0.86	False	99.97	0.54	16.67	5243100	192	119184
FH166	Escherichia coli	0.9272	Salmonella enterica	0.06535	4860	4801	0.89	True	99.97	0.04	0.0	5098641	156	174658
AVC51	Escherichia coli	0.98876	Salmonella enterica	0.00263	4689	4649	0.89	True	99.97	0.04	0.0	4972837	170	121097
