name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
AVC191	5274147	278	18971.75	315584	204	0	0	130113	13	72782	23	19136	49
FH138	5366886	188	28547.27	763438	213	0	0	185333	8	143607	14	27350	31
FH171	5075748	212	23942.21	397989	201	0	0	124771	12	67658	22	23404	45
FH88	5241228	135	38823.91	763040	205	0	0	226645	7	125479	13	37769	27
FH212	5342722	212	25201.52	354726	205	0	0	109340	14	66213	27	21933	54
FH97	5334940	184	28994.24	763161	204	0	0	226847	8	128453	14	31839	29
FH19	5069917	181	28010.59	619731	207	0	0	149241	9	95363	18	32438	36
AVC219	5567964	294	18938.65	364842	208	0	0	122842	13	73666	25	18068	52
AVC237	4702114	87	54047.29	430736	215	0	0	210782	8	125532	14	48011	25
AVC7	5074066	130	39031.28	615335	204	0	0	190943	9	100166	17	38417	31
FH22	5109546	112	45620.95	722462	205	0	0	182378	7	132812	13	54071	26
FH144	5161866	141	36608.98	322755	203	0	0	186141	11	128292	18	62851	30
AVC64	5236699	163	32126.99	272278	213	0	0	141429	13	90902	23	28226	41
FH25	5080276	127	40002.17	624575	208	0	0	283859	6	109823	13	32984	28
FH92	5243141	103	50904.28	763205	216	0	0	259890	6	151720	12	31659	25
FH37	5342478	191	27971.09	763161	200	0	0	186048	9	122116	15	29573	32
FH69	5284848	222	23805.62	255179	200	0	0	103787	17	63693	31	26035	56
AVC38	5176332	156	33181.62	351114	212	0	0	175927	11	113423	18	30971	36
FH52	5644817	220	25658.26	361972	200	0	0	105276	13	64988	27	26281	53
AVC201	4982610	240	20760.88	199733	204	0	0	73373	22	37473	41	17394	78
FH104	5355718	168	31879.27	763337	204	0	0	241713	6	125724	12	31455	28
FH180	5115474	148	34564.01	604622	202	0	0	217398	8	102236	15	42360	31
FH61	5231012	212	24674.58	329078	202	0	0	147486	13	96419	22	38206	38
FH142	5175571	132	39208.87	414133	205	0	0	295065	8	186205	12	68163	21
AVC5	5175671	274	18889.31	315585	204	0	0	129768	12	74193	22	17359	51
FH58	5482568	367	14938.88	306101	201	0	0	81346	20	41385	38	15329	80
AVC98	5244800	186	28197.85	394688	204	0	0	96910	14	64323	28	26217	53
AVC235	5328089	180	29600.49	763185	208	0	0	177958	9	128836	16	29947	32
AVC20	5290021	130	40692.47	750950	204	0	0	297500	6	200762	11	41384	22
AVC256	5315466	201	26445.1	172292	217	0	0	87581	21	53783	36	22981	66
AVC97	5077116	178	28523.12	397798	201	0	0	179253	10	113483	16	29947	32
FH83	5070247	142	35705.96	413701	207	0	0	139038	12	92650	21	55419	36
FH132	5026947	127	39582.26	885337	202	0	0	237098	7	124531	12	34682	25
FH203	5191203	156	33276.94	546431	204	0	0	163729	10	110292	18	40891	35
AVC123	5243100	192	27307.81	294473	204	0	0	119184	16	67417	28	29535	53
FH166	5098641	156	32683.6	435493	203	0	0	174658	9	97941	18	50996	32
AVC51	4972837	170	29251.98	320075	212	0	0	121097	14	88646	23	29956	41
FH65	5129408	152	33746.11	368737	201	0	0	155452	12	113057	19	62821	31
FH62	5129790	172	29824.36	393720	201	0	0	186766	10	113503	17	48253	30
FH125	4933287	148	33333.02	361319	203	0	0	137490	12	88424	21	35231	39
FH21	5103606	122	41832.84	530469	200	0	0	197036	7	110392	14	49530	28
AVC60	5239597	307	17067.09	315602	202	0	0	111616	13	71223	25	15941	58
FH150	4850124	131	37023.85	416676	208	0	0	120634	12	70276	22	26284	45
AVC148	5463046	190	28752.87	418586	205	0	0	130835	12	72179	23	28467	48
FH207	5456595	292	18686.97	425138	204	0	0	109420	12	66014	25	18068	53
FH67	5168294	165	31322.99	368737	201	0	0	164714	12	106733	19	46169	32
FH148	5175695	132	39209.81	414133	205	0	0	273013	8	186205	13	88585	21
FH113	5008295	106	47248.07	519751	203	0	0	198071	8	142650	14	65408	23
FH165	4957079	132	37553.63	347011	203	0	0	173904	10	88211	17	43702	34
FH161	5021531	228	22024.26	314844	201	0	0	111556	14	66120	27	23277	51
FH31	5376531	220	24438.78	364608	201	0	0	100113	14	64459	28	26217	55
FH28	4906284	87	56394.07	384608	203	0	0	208092	9	145053	15	59768	25
AVC61	5193870	91	57075.49	595919	204	0	0	297596	6	200762	11	46402	21
FH101	5338297	157	34001.89	763225	204	0	0	203876	8	136567	14	27675	31
FH36	4902238	100	49022.38	464783	201	0	0	209807	9	148675	15	37771	28
FH206	5479652	224	24462.73	391655	204	0	0	122829	13	67103	26	31953	50
FH59	5320211	191	27854.51	418545	205	0	0	152453	11	70636	22	27861	45
FH46	5306677	171	31033.2	309893	201	0	0	127256	14	89299	24	46022	40
FH9	5308070	347	15297.03	204654	201	0	0	80798	23	38101	42	13543	86
FH146	5201008	126	41277.84	432828	210	0	0	244535	8	139674	14	48423	24
FH127	5387819	172	31324.53	763337	204	0	0	215830	8	134233	14	42226	28
FH111	4998199	125	39985.59	565904	215	0	0	257449	7	156630	12	37537	24
FH204	5258322	148	35529.2	581892	201	0	0	261474	7	111450	14	43448	29
FH123	10082844	5870	1717.69	113209	202	0	0	12764	214	5206	464	442	2271
FH38	5340843	185	28869.42	763262	200	0	0	216419	9	125479	15	40042	29
FH174	5083184	227	22392.88	337976	202	0	0	118216	13	59199	26	25692	50
FH209	5476621	224	24449.2	425052	204	0	0	108608	14	65537	28	31953	53
AVC216	5249514	364	14421.74	142275	203	0	0	38359	41	22565	76	8476	149
FH30	5281383	177	29838.32	408595	201	0	0	190387	10	111541	16	43776	29
FH109	5252377	155	33886.3	763273	204	0	0	213890	7	124343	13	42163	26
AVC242	5315428	212	25072.77	228364	212	0	0	80793	23	45742	40	18976	75
FH210	5002043	136	36779.73	288267	219	0	0	154603	12	86815	21	37491	38
FH98	5339079	176	30335.68	763161	204	0	0	204401	8	122116	15	31839	30
AVC29	5080968	203	25029.4	604371	202	0	0	129276	11	71934	22	26597	45
AVC106	5347289	247	21648.94	759700	201	0	0	158435	8	109576	16	23274	36
AVC179	5427248	211	25721.55	363753	206	0	0	153401	12	91951	21	23468	42
FH76	5292506	159	33286.2	414133	205	0	0	292294	8	186205	13	88378	21
AVC65	5170663	121	42732.75	423272	205	0	0	172554	11	122772	18	46956	31
FH192	4953668	131	37814.26	434130	202	0	0	131204	10	81877	19	41418	35
FH156	5081265	231	21996.82	338861	201	0	0	112102	14	66123	26	26080	50
FH15	5489435	410	13388.87	200299	201	0	0	81460	24	41532	43	14596	86
FH213	5355697	233	22985.82	289805	200	0	0	90880	18	64107	32	27443	58
FH27	5086712	170	29921.84	387070	202	0	0	195173	9	97626	16	28763	37
FH91	5253957	101	52019.38	738236	215	0	0	341396	6	169263	11	45800	21
AVC113	4947232	150	32981.55	545291	200	0	0	167074	10	88133	18	28099	34
FH214	5477807	228	24025.47	435162	204	0	0	108705	13	71339	26	30746	50
AVC224	5482163	248	22105.5	416364	205	0	0	116941	13	57552	26	21019	56
